Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
560,4 Wheelers,4,1,15,15,75000.0,20000000,[75000.0],[75000.0],600.0
561,4 Wheelers,2,1,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
562,4 Wheelers,5,1,12,12,75000.0,20000000,[75000.0],[75000.0],600.0
563,4 Wheelers,5,1,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
564,4 Wheelers,1,1,12,12,75000.0,20000000,[75000.0],[75000.0],600.0
565,4 Wheelers,2,1,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
566,4 Wheelers,5,1,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
567,4 Wheelers,4,1,15,15,75000.0,20000000,[75000.0],[75000.0],600.0
568,4 Wheelers,2,1,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
569,4 Wheelers,1,1,15,15,75000.0,20000000,[75000.0],[75000.0],600.0
570,4 Wheelers,1,2,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
571,4 Wheelers,3,2,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
572,4 Wheelers,4,2,11,11,75000.0,20000000,[75000.0],[75000.0],600.0
573,4 Wheelers,3,2,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
574,4 Wheelers,1,2,15,15,75000.0,20000000,[75000.0],[75000.0],600.0
575,4 Wheelers,2,2,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
576,4 Wheelers,2,2,11,11,75000.0,20000000,[75000.0],[75000.0],600.0
577,4 Wheelers,4,2,11,11,75000.0,20000000,[75000.0],[75000.0],600.0
578,4 Wheelers,1,2,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
579,4 Wheelers,2,2,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
580,4 Wheelers,4,3,16,16,75000.0,20000000,[75000.0],[75000.0],600.0
581,4 Wheelers,4,3,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
582,4 Wheelers,2,3,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
583,4 Wheelers,2,3,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
584,4 Wheelers,4,3,11,11,75000.0,20000000,[75000.0],[75000.0],600.0
585,4 Wheelers,2,3,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
586,4 Wheelers,1,3,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
587,4 Wheelers,2,3,11,11,75000.0,20000000,[75000.0],[75000.0],600.0
588,4 Wheelers,1,3,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
589,4 Wheelers,5,3,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
590,4 Wheelers,4,4,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
591,4 Wheelers,2,4,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
592,4 Wheelers,2,4,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
593,4 Wheelers,4,4,15,15,75000.0,20000000,[75000.0],[75000.0],600.0
594,4 Wheelers,3,4,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
595,4 Wheelers,4,4,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
596,4 Wheelers,4,4,11,11,75000.0,20000000,[75000.0],[75000.0],600.0
597,4 Wheelers,2,4,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
598,4 Wheelers,1,4,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
599,4 Wheelers,1,4,16,16,75000.0,20000000,[75000.0],[75000.0],600.0
600,4 Wheelers,3,5,12,12,75000.0,20000000,[75000.0],[75000.0],600.0
601,4 Wheelers,3,5,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
602,4 Wheelers,1,5,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
603,4 Wheelers,1,5,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
604,4 Wheelers,3,5,15,15,75000.0,20000000,[75000.0],[75000.0],600.0
605,4 Wheelers,5,5,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
606,4 Wheelers,3,5,12,12,75000.0,20000000,[75000.0],[75000.0],600.0
607,4 Wheelers,3,5,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
608,4 Wheelers,1,5,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
609,4 Wheelers,5,5,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
610,4 Wheelers,3,6,12,12,75000.0,20000000,[75000.0],[75000.0],600.0
611,4 Wheelers,5,6,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
612,4 Wheelers,1,6,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
613,4 Wheelers,2,6,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
614,4 Wheelers,1,6,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
615,4 Wheelers,5,6,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
616,4 Wheelers,5,6,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
617,4 Wheelers,2,6,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
618,4 Wheelers,2,6,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
619,4 Wheelers,3,6,15,15,75000.0,20000000,[75000.0],[75000.0],600.0
620,4 Wheelers,4,7,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
621,4 Wheelers,1,7,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
622,4 Wheelers,5,7,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
623,4 Wheelers,5,7,12,12,75000.0,20000000,[75000.0],[75000.0],600.0
624,4 Wheelers,1,7,12,12,75000.0,20000000,[75000.0],[75000.0],600.0
625,4 Wheelers,5,7,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
626,4 Wheelers,3,7,14,14,75000.0,20000000,[75000.0],[75000.0],600.0
627,4 Wheelers,1,7,13,13,75000.0,20000000,[75000.0],[75000.0],600.0
628,4 Wheelers,2,7,12,12,75000.0,20000000,[75000.0],[75000.0],600.0
629,4 Wheelers,2,7,15,15,75000.0,20000000,[75000.0],[75000.0],600.0
630,Two Wheelers,2,1,19,19,45000.0,20000000,[45000.0],[45000.0],600.0
631,Two Wheelers,5,1,3,3,45000.0,20000000,[45000.0],[45000.0],600.0
632,Two Wheelers,3,1,11,11,45000.0,20000000,[45000.0],[45000.0],600.0
633,Two Wheelers,2,1,17,17,45000.0,20000000,[45000.0],[45000.0],600.0
634,Two Wheelers,3,1,4,4,45000.0,20000000,[45000.0],[45000.0],600.0
635,Two Wheelers,1,1,14,14,45000.0,20000000,[45000.0],[45000.0],600.0
