Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
700,4 Wheelers,4,1,0,0,75000.0,20000000,[75000.0],[75000.0],600.0
701,4 Wheelers,4,1,1,1,75000.0,20000000,[75000.0],[75000.0],600.0
702,4 Wheelers,1,1,1,1,75000.0,20000000,[75000.0],[75000.0],600.0
703,4 Wheelers,2,1,1,1,75000.0,20000000,[75000.0],[75000.0],600.0
704,4 Wheelers,1,1,3,3,75000.0,20000000,[75000.0],[75000.0],600.0
705,4 Wheelers,3,1,2,2,75000.0,20000000,[75000.0],[75000.0],600.0
706,4 Wheelers,2,1,0,0,75000.0,20000000,[75000.0],[75000.0],600.0
707,4 Wheelers,1,1,2,2,75000.0,20000000,[75000.0],[75000.0],600.0
708,4 Wheelers,1,1,1,1,75000.0,20000000,[75000.0],[75000.0],600.0
709,4 Wheelers,5,1,0,0,75000.0,20000000,[75000.0],[75000.0],600.0
710,4 Wheelers,1,2,0,0,75000.0,20000000,[75000.0],[75000.0],600.0
711,4 Wheelers,2,2,1,1,75000.0,20000000,[75000.0],[75000.0],600.0
712,4 Wheelers,5,2,0,0,75000.0,20000000,[75000.0],[75000.0],600.0
713,4 Wheelers,4,2,3,3,75000.0,20000000,[75000.0],[75000.0],600.0
714,4 Wheelers,1,2,1,1,75000.0,20000000,[75000.0],[75000.0],600.0
715,4 Wheelers,2,2,1,1,75000.0,20000000,[75000.0],[75000.0],600.0
716,4 Wheelers,2,2,1,1,75000.0,20000000,[75000.0],[75000.0],600.0
717,4 Wheelers,4,2,1,1,75000.0,20000000,[75000.0],[75000.0],600.0
718,4 Wheelers,3,2,1,1,75000.0,20000000,[75000.0],[75000.0],600.0
719,4 Wheelers,4,2,1,1,75000.0,20000000,[75000.0],[75000.0],600.0
720,4 Wheelers,2,3,2,2,75000.0,20000000,[75000.0],[75000.0],600.0
721,4 Wheelers,1,3,1,1,75000.0,20000000,[75000.0],[75000.0],600.0
722,4 Wheelers,5,3,2,2,75000.0,20000000,[75000.0],[75000.0],600.0
723,4 Wheelers,2,3,2,2,75000.0,20000000,[75000.0],[75000.0],600.0
724,4 Wheelers,4,3,2,2,75000.0,20000000,[75000.0],[75000.0],600.0
725,4 Wheelers,5,3,0,0,75000.0,20000000,[75000.0],[75000.0],600.0
