Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
0,4 Wheelers,3,1,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
1,4 Wheelers,5,1,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
2,4 Wheelers,2,1,12,12,25000.0,20000000,[25000.0],[25000.0],600.0
3,4 Wheelers,3,1,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
4,4 Wheelers,1,1,15,15,25000.0,20000000,[25000.0],[25000.0],600.0
5,4 Wheelers,3,1,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
6,4 Wheelers,2,1,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
7,4 Wheelers,1,1,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
8,4 Wheelers,4,1,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
9,4 Wheelers,1,1,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
10,4 Wheelers,4,2,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
11,4 Wheelers,2,2,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
12,4 Wheelers,4,2,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
13,4 Wheelers,1,2,15,15,25000.0,20000000,[25000.0],[25000.0],600.0
14,4 Wheelers,3,2,12,12,25000.0,20000000,[25000.0],[25000.0],600.0
15,4 Wheelers,3,2,15,15,25000.0,20000000,[25000.0],[25000.0],600.0
16,4 Wheelers,4,2,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
17,4 Wheelers,1,2,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
18,4 Wheelers,1,2,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
19,4 Wheelers,1,2,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
20,4 Wheelers,4,3,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
21,4 Wheelers,3,3,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
22,4 Wheelers,1,3,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
23,4 Wheelers,5,3,12,12,25000.0,20000000,[25000.0],[25000.0],600.0
24,4 Wheelers,2,3,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
25,4 Wheelers,1,3,15,15,25000.0,20000000,[25000.0],[25000.0],600.0
26,4 Wheelers,1,3,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
27,4 Wheelers,5,3,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
28,4 Wheelers,5,3,12,12,25000.0,20000000,[25000.0],[25000.0],600.0
29,4 Wheelers,4,3,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
30,4 Wheelers,5,4,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
31,4 Wheelers,1,4,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
32,4 Wheelers,3,4,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
33,4 Wheelers,4,4,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
34,4 Wheelers,4,4,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
35,4 Wheelers,2,4,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
36,4 Wheelers,5,4,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
37,4 Wheelers,1,4,15,15,25000.0,20000000,[25000.0],[25000.0],600.0
38,4 Wheelers,1,4,15,15,25000.0,20000000,[25000.0],[25000.0],600.0
39,4 Wheelers,4,4,12,12,25000.0,20000000,[25000.0],[25000.0],600.0
40,4 Wheelers,1,5,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
41,4 Wheelers,5,5,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
42,4 Wheelers,1,5,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
43,4 Wheelers,2,5,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
44,4 Wheelers,4,5,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
45,4 Wheelers,4,5,12,12,25000.0,20000000,[25000.0],[25000.0],600.0
46,4 Wheelers,4,5,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
47,4 Wheelers,1,5,12,12,25000.0,20000000,[25000.0],[25000.0],600.0
48,4 Wheelers,5,5,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
49,4 Wheelers,3,5,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
50,4 Wheelers,3,6,15,15,25000.0,20000000,[25000.0],[25000.0],600.0
51,4 Wheelers,3,6,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
52,4 Wheelers,4,6,12,12,25000.0,20000000,[25000.0],[25000.0],600.0
53,4 Wheelers,4,6,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
54,4 Wheelers,5,6,15,15,25000.0,20000000,[25000.0],[25000.0],600.0
55,4 Wheelers,3,6,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
56,4 Wheelers,2,6,12,12,25000.0,20000000,[25000.0],[25000.0],600.0
57,4 Wheelers,3,6,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
58,4 Wheelers,1,6,15,15,25000.0,20000000,[25000.0],[25000.0],600.0
59,4 Wheelers,3,6,12,12,25000.0,20000000,[25000.0],[25000.0],600.0
60,4 Wheelers,2,7,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
61,4 Wheelers,5,7,15,15,25000.0,20000000,[25000.0],[25000.0],600.0
62,4 Wheelers,3,7,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
63,4 Wheelers,4,7,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
64,4 Wheelers,4,7,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
65,4 Wheelers,3,7,13,13,25000.0,20000000,[25000.0],[25000.0],600.0
66,4 Wheelers,4,7,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
67,4 Wheelers,5,7,11,11,25000.0,20000000,[25000.0],[25000.0],600.0
68,4 Wheelers,3,7,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
69,4 Wheelers,4,7,14,14,25000.0,20000000,[25000.0],[25000.0],600.0
70,Two Wheelers,5,1,1,1,15000.0,20000000,[15000.0],[15000.0],600.0
71,Two Wheelers,5,1,7,7,15000.0,20000000,[15000.0],[15000.0],600.0
72,Two Wheelers,3,1,4,4,15000.0,20000000,[15000.0],[15000.0],600.0
73,Two Wheelers,5,1,21,21,15000.0,20000000,[15000.0],[15000.0],600.0
74,Two Wheelers,5,1,8,8,15000.0,20000000,[15000.0],[15000.0],600.0
75,Two Wheelers,1,1,9,9,15000.0,20000000,[15000.0],[15000.0],600.0
76,Two Wheelers,2,1,6,6,15000.0,20000000,[15000.0],[15000.0],600.0
77,Two Wheelers,5,1,12,12,15000.0,20000000,[15000.0],[15000.0],600.0
78,Two Wheelers,1,1,14,14,15000.0,20000000,[15000.0],[15000.0],600.0
79,Two Wheelers,1,1,10,10,15000.0,20000000,[15000.0],[15000.0],600.0
80,Two Wheelers,3,2,5,5,15000.0,20000000,[15000.0],[15000.0],600.0
81,Two Wheelers,2,2,18,18,15000.0,20000000,[15000.0],[15000.0],600.0
82,Two Wheelers,1,2,18,18,15000.0,20000000,[15000.0],[15000.0],600.0
83,Two Wheelers,1,2,7,7,15000.0,20000000,[15000.0],[15000.0],600.0
84,Two Wheelers,4,2,16,16,15000.0,20000000,[15000.0],[15000.0],600.0
85,Two Wheelers,3,2,3,3,15000.0,20000000,[15000.0],[15000.0],600.0
86,Two Wheelers,3,2,13,13,15000.0,20000000,[15000.0],[15000.0],600.0
87,Two Wheelers,4,2,6,6,15000.0,20000000,[15000.0],[15000.0],600.0
88,Two Wheelers,3,2,14,14,15000.0,20000000,[15000.0],[15000.0],600.0
89,Two Wheelers,3,2,0,0,15000.0,20000000,[15000.0],[15000.0],600.0
90,Two Wheelers,3,3,13,13,15000.0,20000000,[15000.0],[15000.0],600.0
