Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
420,4 Wheelers,2,1,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
421,4 Wheelers,2,1,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
422,4 Wheelers,4,1,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
423,4 Wheelers,2,1,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
424,4 Wheelers,5,1,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
425,4 Wheelers,2,1,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
426,4 Wheelers,2,1,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
427,4 Wheelers,3,1,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
428,4 Wheelers,1,1,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
429,4 Wheelers,4,1,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
430,4 Wheelers,4,2,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
431,4 Wheelers,2,2,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
432,4 Wheelers,2,2,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
433,4 Wheelers,1,2,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
434,4 Wheelers,5,2,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
435,4 Wheelers,5,2,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
436,4 Wheelers,3,2,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
437,4 Wheelers,3,2,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
438,4 Wheelers,3,2,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
439,4 Wheelers,5,2,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
440,4 Wheelers,5,3,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
441,4 Wheelers,3,3,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
442,4 Wheelers,5,3,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
443,4 Wheelers,5,3,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
444,4 Wheelers,4,3,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
445,4 Wheelers,1,3,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
446,4 Wheelers,4,3,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
447,4 Wheelers,3,3,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
448,4 Wheelers,2,3,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
449,4 Wheelers,2,3,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
450,4 Wheelers,2,4,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
451,4 Wheelers,3,4,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
452,4 Wheelers,4,4,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
453,4 Wheelers,2,4,4,4,50000.0,20000000,[50000.0],[50000.0],600.0
454,4 Wheelers,4,4,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
