Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
140,Two Wheelers,1,1,10,10,30000.0,20000000,[30000.0],[30000.0],600.0
141,Two Wheelers,3,1,17,17,30000.0,20000000,[30000.0],[30000.0],600.0
142,Two Wheelers,5,1,12,12,30000.0,20000000,[30000.0],[30000.0],600.0
143,Two Wheelers,4,1,16,16,30000.0,20000000,[30000.0],[30000.0],600.0
144,Two Wheelers,2,1,13,13,30000.0,20000000,[30000.0],[30000.0],600.0
145,Two Wheelers,5,1,14,14,30000.0,20000000,[30000.0],[30000.0],600.0
146,Two Wheelers,3,1,11,11,30000.0,20000000,[30000.0],[30000.0],600.0
147,Two Wheelers,5,1,6,6,30000.0,20000000,[30000.0],[30000.0],600.0
148,Two Wheelers,4,1,15,15,30000.0,20000000,[30000.0],[30000.0],600.0
149,Two Wheelers,3,1,8,8,30000.0,20000000,[30000.0],[30000.0],600.0
150,Two Wheelers,4,2,14,14,30000.0,20000000,[30000.0],[30000.0],600.0
151,Two Wheelers,5,2,17,17,30000.0,20000000,[30000.0],[30000.0],600.0
152,Two Wheelers,1,2,11,11,30000.0,20000000,[30000.0],[30000.0],600.0
153,Two Wheelers,4,2,16,16,30000.0,20000000,[30000.0],[30000.0],600.0
154,Two Wheelers,2,2,10,10,30000.0,20000000,[30000.0],[30000.0],600.0
155,Two Wheelers,5,2,16,16,30000.0,20000000,[30000.0],[30000.0],600.0
156,Two Wheelers,5,2,5,5,30000.0,20000000,[30000.0],[30000.0],600.0
157,Two Wheelers,1,2,18,18,30000.0,20000000,[30000.0],[30000.0],600.0
158,Two Wheelers,4,2,8,8,30000.0,20000000,[30000.0],[30000.0],600.0
159,Two Wheelers,1,2,8,8,30000.0,20000000,[30000.0],[30000.0],600.0
160,Two Wheelers,3,3,7,7,30000.0,20000000,[30000.0],[30000.0],600.0
161,Two Wheelers,4,3,12,12,30000.0,20000000,[30000.0],[30000.0],600.0
162,Two Wheelers,1,3,12,12,30000.0,20000000,[30000.0],[30000.0],600.0
163,Two Wheelers,1,3,12,12,30000.0,20000000,[30000.0],[30000.0],600.0
164,Two Wheelers,1,3,21,21,30000.0,20000000,[30000.0],[30000.0],600.0
165,Two Wheelers,2,3,15,15,30000.0,20000000,[30000.0],[30000.0],600.0
166,Two Wheelers,5,3,18,18,30000.0,20000000,[30000.0],[30000.0],600.0
167,Two Wheelers,1,3,13,13,30000.0,20000000,[30000.0],[30000.0],600.0
168,Two Wheelers,1,3,0,0,30000.0,20000000,[30000.0],[30000.0],600.0
169,Two Wheelers,4,3,1,1,30000.0,20000000,[30000.0],[30000.0],600.0
170,Two Wheelers,4,4,14,14,30000.0,20000000,[30000.0],[30000.0],600.0
171,Two Wheelers,1,4,8,8,30000.0,20000000,[30000.0],[30000.0],600.0
172,Two Wheelers,1,4,20,20,30000.0,20000000,[30000.0],[30000.0],600.0
173,Two Wheelers,3,4,12,12,30000.0,20000000,[30000.0],[30000.0],600.0
174,Two Wheelers,4,4,13,13,30000.0,20000000,[30000.0],[30000.0],600.0
175,Two Wheelers,1,4,18,18,30000.0,20000000,[30000.0],[30000.0],600.0
176,Two Wheelers,2,4,15,15,30000.0,20000000,[30000.0],[30000.0],600.0
177,Two Wheelers,1,4,8,8,30000.0,20000000,[30000.0],[30000.0],600.0
178,Two Wheelers,4,4,14,14,30000.0,20000000,[30000.0],[30000.0],600.0
179,Two Wheelers,1,4,20,20,30000.0,20000000,[30000.0],[30000.0],600.0
180,Two Wheelers,1,5,17,17,30000.0,20000000,[30000.0],[30000.0],600.0
181,Two Wheelers,2,5,12,12,30000.0,20000000,[30000.0],[30000.0],600.0
182,Two Wheelers,3,5,19,19,30000.0,20000000,[30000.0],[30000.0],600.0
183,Two Wheelers,3,5,19,19,30000.0,20000000,[30000.0],[30000.0],600.0
184,Two Wheelers,1,5,15,15,30000.0,20000000,[30000.0],[30000.0],600.0
185,Two Wheelers,5,5,9,9,30000.0,20000000,[30000.0],[30000.0],600.0
186,Two Wheelers,4,5,9,9,30000.0,20000000,[30000.0],[30000.0],600.0
187,Two Wheelers,4,5,9,9,30000.0,20000000,[30000.0],[30000.0],600.0
188,Two Wheelers,1,5,18,18,30000.0,20000000,[30000.0],[30000.0],600.0
189,Two Wheelers,3,5,17,17,30000.0,20000000,[30000.0],[30000.0],600.0
190,Two Wheelers,3,6,14,14,30000.0,20000000,[30000.0],[30000.0],600.0
191,Two Wheelers,1,6,12,12,30000.0,20000000,[30000.0],[30000.0],600.0
192,Two Wheelers,2,6,3,3,30000.0,20000000,[30000.0],[30000.0],600.0
193,Two Wheelers,5,6,6,6,30000.0,20000000,[30000.0],[30000.0],600.0
194,Two Wheelers,4,6,8,8,30000.0,20000000,[30000.0],[30000.0],600.0
195,Two Wheelers,2,6,12,12,30000.0,20000000,[30000.0],[30000.0],600.0
196,Two Wheelers,4,6,14,14,30000.0,20000000,[30000.0],[30000.0],600.0
197,Two Wheelers,3,6,21,21,30000.0,20000000,[30000.0],[30000.0],600.0
198,Two Wheelers,3,6,0,0,30000.0,20000000,[30000.0],[30000.0],600.0
199,Two Wheelers,5,6,6,6,30000.0,20000000,[30000.0],[30000.0],600.0
200,Two Wheelers,1,7,12,12,30000.0,20000000,[30000.0],[30000.0],600.0
201,Two Wheelers,3,7,15,15,30000.0,20000000,[30000.0],[30000.0],600.0
202,Two Wheelers,1,7,3,3,30000.0,20000000,[30000.0],[30000.0],600.0
203,Two Wheelers,3,7,13,13,30000.0,20000000,[30000.0],[30000.0],600.0
204,Two Wheelers,3,7,21,21,30000.0,20000000,[30000.0],[30000.0],600.0
205,Two Wheelers,3,7,13,13,30000.0,20000000,[30000.0],[30000.0],600.0
206,Two Wheelers,3,7,15,15,30000.0,20000000,[30000.0],[30000.0],600.0
207,Two Wheelers,4,7,10,10,30000.0,20000000,[30000.0],[30000.0],600.0
208,Two Wheelers,4,7,19,19,30000.0,20000000,[30000.0],[30000.0],600.0
209,Two Wheelers,3,7,17,17,30000.0,20000000,[30000.0],[30000.0],600.0
210,4 Wheelers,2,1,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
211,4 Wheelers,4,1,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
212,4 Wheelers,5,1,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
213,4 Wheelers,1,1,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
214,4 Wheelers,2,1,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
215,4 Wheelers,3,1,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
216,4 Wheelers,2,1,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
217,4 Wheelers,2,1,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
218,4 Wheelers,4,1,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
219,4 Wheelers,1,1,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
220,4 Wheelers,2,2,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
221,4 Wheelers,1,2,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
222,4 Wheelers,4,2,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
223,4 Wheelers,1,2,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
224,4 Wheelers,4,2,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
225,4 Wheelers,4,2,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
226,4 Wheelers,1,2,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
227,4 Wheelers,5,2,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
228,4 Wheelers,2,2,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
229,4 Wheelers,3,2,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
230,4 Wheelers,3,3,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
231,4 Wheelers,2,3,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
232,4 Wheelers,3,3,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
233,4 Wheelers,4,3,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
234,4 Wheelers,5,3,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
235,4 Wheelers,4,3,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
236,4 Wheelers,1,3,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
237,4 Wheelers,4,3,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
238,4 Wheelers,4,3,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
239,4 Wheelers,2,3,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
240,4 Wheelers,1,4,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
241,4 Wheelers,5,4,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
242,4 Wheelers,4,4,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
243,4 Wheelers,1,4,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
244,4 Wheelers,5,4,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
245,4 Wheelers,2,4,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
246,4 Wheelers,3,4,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
247,4 Wheelers,2,4,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
248,4 Wheelers,2,4,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
249,4 Wheelers,1,4,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
250,4 Wheelers,5,5,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
251,4 Wheelers,5,5,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
252,4 Wheelers,2,5,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
253,4 Wheelers,4,5,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
254,4 Wheelers,2,5,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
255,4 Wheelers,1,5,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
256,4 Wheelers,3,5,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
257,4 Wheelers,5,5,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
258,4 Wheelers,5,5,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
259,4 Wheelers,1,5,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
260,4 Wheelers,3,6,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
261,4 Wheelers,5,6,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
262,4 Wheelers,4,6,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
263,4 Wheelers,5,6,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
264,4 Wheelers,3,6,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
265,4 Wheelers,3,6,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
266,4 Wheelers,2,6,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
267,4 Wheelers,1,6,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
268,4 Wheelers,1,6,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
269,4 Wheelers,4,6,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
270,4 Wheelers,3,7,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
271,4 Wheelers,3,7,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
272,4 Wheelers,2,7,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
273,4 Wheelers,2,7,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
274,4 Wheelers,1,7,1,1,50000.0,20000000,[50000.0],[50000.0],600.0
275,4 Wheelers,3,7,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
276,4 Wheelers,5,7,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
277,4 Wheelers,5,7,0,0,50000.0,20000000,[50000.0],[50000.0],600.0
278,4 Wheelers,4,7,2,2,50000.0,20000000,[50000.0],[50000.0],600.0
279,4 Wheelers,4,7,3,3,50000.0,20000000,[50000.0],[50000.0],600.0
