Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
1960,Two Wheelers,3,1,18,18,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1961,Two Wheelers,1,1,16,16,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1962,Two Wheelers,3,1,14,14,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1963,Two Wheelers,4,1,16,16,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1964,Two Wheelers,2,1,4,4,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1965,Two Wheelers,4,1,19,19,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1966,Two Wheelers,5,1,12,12,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1967,Two Wheelers,3,1,6,6,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1968,Two Wheelers,3,1,14,14,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1969,Two Wheelers,3,1,14,14,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1970,Two Wheelers,4,1,10,10,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1971,Two Wheelers,2,1,20,20,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1972,Two Wheelers,1,1,15,15,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1973,Two Wheelers,4,1,15,15,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1974,Two Wheelers,3,1,5,5,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1975,Two Wheelers,5,1,6,6,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1976,Two Wheelers,1,1,0,0,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1977,Two Wheelers,2,1,14,14,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1978,Two Wheelers,2,1,6,6,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1979,Two Wheelers,4,1,7,7,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
1980,Two Wheelers,3,2,1,1,4435.526747999999,20000000,[4435.526747999999],[4435.526747999999],600.0
