Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
2520,Two Wheelers,1,1,11,11,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2521,Two Wheelers,2,1,11,11,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2522,Two Wheelers,2,1,13,13,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2523,Two Wheelers,2,1,16,16,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2524,Two Wheelers,3,1,17,17,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2525,Two Wheelers,1,1,10,10,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2526,Two Wheelers,4,1,10,10,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2527,Two Wheelers,3,1,2,2,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2528,Two Wheelers,1,1,14,14,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2529,Two Wheelers,1,1,18,18,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2530,Two Wheelers,2,1,20,20,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2531,Two Wheelers,1,1,16,16,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2532,Two Wheelers,2,1,14,14,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2533,Two Wheelers,2,1,11,11,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2534,Two Wheelers,3,1,17,17,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2535,Two Wheelers,1,1,13,13,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2536,Two Wheelers,3,1,4,4,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2537,Two Wheelers,2,1,14,14,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2538,Two Wheelers,3,1,18,18,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2539,Two Wheelers,2,1,13,13,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2540,Two Wheelers,3,2,9,9,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2541,Two Wheelers,2,2,18,18,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2542,Two Wheelers,2,2,10,10,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2543,Two Wheelers,1,2,14,14,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2544,Two Wheelers,4,2,10,10,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2545,Two Wheelers,1,2,8,8,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2546,Two Wheelers,3,2,9,9,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2547,Two Wheelers,2,2,7,7,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2548,Two Wheelers,1,2,5,5,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2549,Two Wheelers,2,2,14,14,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2550,Two Wheelers,3,2,3,3,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2551,Two Wheelers,2,2,19,19,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2552,Two Wheelers,2,2,8,8,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2553,Two Wheelers,1,2,13,13,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2554,Two Wheelers,2,2,8,8,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2555,Two Wheelers,3,2,7,7,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2556,Two Wheelers,2,2,13,13,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2557,Two Wheelers,3,2,20,20,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2558,Two Wheelers,1,2,14,14,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2559,Two Wheelers,3,2,13,13,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2560,Two Wheelers,3,3,4,4,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2561,Two Wheelers,2,3,15,15,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2562,Two Wheelers,3,3,10,10,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2563,Two Wheelers,2,3,13,13,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2564,Two Wheelers,3,3,19,19,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2565,Two Wheelers,1,3,6,6,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2566,Two Wheelers,2,3,5,5,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2567,Two Wheelers,2,3,18,18,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2568,Two Wheelers,1,3,13,13,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2569,Two Wheelers,4,3,12,12,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2570,Two Wheelers,2,3,12,12,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2571,Two Wheelers,4,3,12,12,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2572,Two Wheelers,2,3,14,14,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2573,Two Wheelers,2,3,14,14,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2574,Two Wheelers,3,3,13,13,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2575,Two Wheelers,3,3,17,17,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2576,Two Wheelers,2,3,8,8,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2577,Two Wheelers,3,3,17,17,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2578,Two Wheelers,2,3,11,11,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2579,Two Wheelers,3,3,10,10,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2580,Two Wheelers,2,4,22,22,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2581,Two Wheelers,2,4,11,11,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2582,Two Wheelers,3,4,8,8,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2583,Two Wheelers,1,4,17,17,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2584,Two Wheelers,1,4,17,17,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2585,Two Wheelers,1,4,16,16,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2586,Two Wheelers,3,4,20,20,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2587,Two Wheelers,3,4,5,5,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2588,Two Wheelers,2,4,8,8,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2589,Two Wheelers,2,4,15,15,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2590,Two Wheelers,2,4,12,12,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2591,Two Wheelers,2,4,14,14,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2592,Two Wheelers,2,4,13,13,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2593,Two Wheelers,3,4,21,21,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2594,Two Wheelers,1,4,14,14,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2595,Two Wheelers,1,4,14,14,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2596,Two Wheelers,1,4,10,10,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2597,Two Wheelers,3,4,3,3,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
2598,Two Wheelers,3,4,14,14,4392.6022956,20000000,[4392.6022956],[4392.6022956],600.0
