Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
0,Two Wheelers,5,1,9,9,1478.508916,20000000,[1478.508916],[1478.508916],600.0
1,Two Wheelers,3,1,12,12,1478.508916,20000000,[1478.508916],[1478.508916],600.0
2,Two Wheelers,5,1,12,12,1478.508916,20000000,[1478.508916],[1478.508916],600.0
3,Two Wheelers,2,1,12,12,1478.508916,20000000,[1478.508916],[1478.508916],600.0
4,Two Wheelers,5,1,10,10,1478.508916,20000000,[1478.508916],[1478.508916],600.0
5,Two Wheelers,5,1,16,16,1478.508916,20000000,[1478.508916],[1478.508916],600.0
6,Two Wheelers,1,1,18,18,1478.508916,20000000,[1478.508916],[1478.508916],600.0
7,Two Wheelers,1,1,13,13,1478.508916,20000000,[1478.508916],[1478.508916],600.0
8,Two Wheelers,3,1,20,20,1478.508916,20000000,[1478.508916],[1478.508916],600.0
9,Two Wheelers,5,1,11,11,1478.508916,20000000,[1478.508916],[1478.508916],600.0
10,Two Wheelers,2,1,6,6,1478.508916,20000000,[1478.508916],[1478.508916],600.0
11,Two Wheelers,5,1,8,8,1478.508916,20000000,[1478.508916],[1478.508916],600.0
12,Two Wheelers,1,1,1,1,1478.508916,20000000,[1478.508916],[1478.508916],600.0
13,Two Wheelers,4,1,12,12,1478.508916,20000000,[1478.508916],[1478.508916],600.0
14,Two Wheelers,2,1,10,10,1478.508916,20000000,[1478.508916],[1478.508916],600.0
15,Two Wheelers,5,1,10,10,1478.508916,20000000,[1478.508916],[1478.508916],600.0
16,Two Wheelers,2,1,11,11,1478.508916,20000000,[1478.508916],[1478.508916],600.0
17,Two Wheelers,2,1,12,12,1478.508916,20000000,[1478.508916],[1478.508916],600.0
18,Two Wheelers,4,1,2,2,1478.508916,20000000,[1478.508916],[1478.508916],600.0
19,Two Wheelers,1,1,5,5,1478.508916,20000000,[1478.508916],[1478.508916],600.0
20,Two Wheelers,4,2,7,7,1478.508916,20000000,[1478.508916],[1478.508916],600.0
21,Two Wheelers,3,2,12,12,1478.508916,20000000,[1478.508916],[1478.508916],600.0
