Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
420,Two Wheelers,3,1,15,15,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
421,Two Wheelers,2,1,14,14,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
422,Two Wheelers,1,1,11,11,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
423,Two Wheelers,2,1,20,20,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
424,Two Wheelers,1,1,5,5,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
425,Two Wheelers,3,1,1,1,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
426,Two Wheelers,1,1,4,4,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
427,Two Wheelers,2,1,15,15,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
428,Two Wheelers,2,1,11,11,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
429,Two Wheelers,1,1,3,3,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
430,Two Wheelers,1,1,13,13,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
431,Two Wheelers,2,1,2,2,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
432,Two Wheelers,4,1,9,9,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
433,Two Wheelers,3,1,8,8,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
434,Two Wheelers,1,1,15,15,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
435,Two Wheelers,3,1,17,17,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
436,Two Wheelers,3,1,10,10,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
437,Two Wheelers,3,1,5,5,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
438,Two Wheelers,4,1,18,18,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
439,Two Wheelers,2,1,9,9,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
440,Two Wheelers,4,2,12,12,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
441,Two Wheelers,1,2,17,17,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
442,Two Wheelers,3,2,15,15,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
443,Two Wheelers,2,2,7,7,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
444,Two Wheelers,3,2,8,8,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
445,Two Wheelers,2,2,16,16,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
446,Two Wheelers,1,2,9,9,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
447,Two Wheelers,1,2,5,5,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
448,Two Wheelers,1,2,14,14,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
449,Two Wheelers,3,2,6,6,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
450,Two Wheelers,3,2,18,18,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
451,Two Wheelers,3,2,17,17,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
452,Two Wheelers,2,2,8,8,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
453,Two Wheelers,2,2,15,15,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
454,Two Wheelers,1,2,18,18,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
455,Two Wheelers,3,2,6,6,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
456,Two Wheelers,3,2,19,19,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
457,Two Wheelers,1,2,13,13,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
458,Two Wheelers,2,2,3,3,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
459,Two Wheelers,4,2,11,11,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
460,Two Wheelers,1,3,15,15,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
461,Two Wheelers,2,3,9,9,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
462,Two Wheelers,2,3,16,16,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
463,Two Wheelers,1,3,11,11,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
464,Two Wheelers,2,3,6,6,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
465,Two Wheelers,1,3,15,15,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
466,Two Wheelers,4,3,4,4,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
467,Two Wheelers,1,3,13,13,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
468,Two Wheelers,3,3,0,0,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
469,Two Wheelers,4,3,9,9,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
470,Two Wheelers,1,3,19,19,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
471,Two Wheelers,1,3,8,8,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
472,Two Wheelers,2,3,3,3,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
473,Two Wheelers,1,3,13,13,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
474,Two Wheelers,3,3,11,11,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
475,Two Wheelers,2,3,10,10,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
476,Two Wheelers,1,3,11,11,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
477,Two Wheelers,1,3,21,21,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
478,Two Wheelers,1,3,12,12,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
479,Two Wheelers,1,3,8,8,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
480,Two Wheelers,1,4,7,7,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
481,Two Wheelers,1,4,3,3,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
482,Two Wheelers,3,4,13,13,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
483,Two Wheelers,2,4,10,10,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
484,Two Wheelers,2,4,9,9,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
485,Two Wheelers,4,4,13,13,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
486,Two Wheelers,2,4,8,8,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
487,Two Wheelers,3,4,16,16,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
488,Two Wheelers,3,4,17,17,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
489,Two Wheelers,2,4,0,0,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
490,Two Wheelers,1,4,10,10,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
491,Two Wheelers,3,4,10,10,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
492,Two Wheelers,2,4,4,4,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
493,Two Wheelers,4,4,3,3,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
494,Two Wheelers,2,4,15,15,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
495,Two Wheelers,2,4,8,8,1464.2007651999998,20000000,[1464.2007651999998],[1464.2007651999998],600.0
