Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
840,Two Wheelers,1,1,15,15,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
841,Two Wheelers,2,1,12,12,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
842,Two Wheelers,1,1,8,8,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
843,Two Wheelers,2,1,21,21,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
844,Two Wheelers,3,1,9,9,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
845,Two Wheelers,3,1,0,0,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
846,Two Wheelers,3,1,15,15,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
847,Two Wheelers,2,1,15,15,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
848,Two Wheelers,1,1,19,19,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
849,Two Wheelers,2,1,7,7,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
850,Two Wheelers,1,1,9,9,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
851,Two Wheelers,2,1,12,12,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
852,Two Wheelers,3,1,17,17,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
853,Two Wheelers,1,1,15,15,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
854,Two Wheelers,3,1,14,14,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
855,Two Wheelers,1,1,16,16,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
856,Two Wheelers,4,1,4,4,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
857,Two Wheelers,2,1,17,17,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
858,Two Wheelers,3,1,15,15,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
859,Two Wheelers,1,1,13,13,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
860,Two Wheelers,3,2,2,2,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
861,Two Wheelers,1,2,8,8,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
862,Two Wheelers,2,2,20,20,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
863,Two Wheelers,3,2,11,11,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
864,Two Wheelers,3,2,5,5,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
865,Two Wheelers,2,2,14,14,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
866,Two Wheelers,2,2,12,12,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
867,Two Wheelers,1,2,13,13,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
868,Two Wheelers,3,2,6,6,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
869,Two Wheelers,3,2,11,11,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
870,Two Wheelers,2,2,8,8,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
871,Two Wheelers,1,2,14,14,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
872,Two Wheelers,2,2,19,19,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
873,Two Wheelers,1,2,8,8,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
874,Two Wheelers,1,2,14,14,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
875,Two Wheelers,2,2,11,11,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
876,Two Wheelers,1,2,16,16,2928.4015303999995,20000000,[2928.4015303999995],[2928.4015303999995],600.0
