Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
0,4 Wheelers,3,1,14,15,25000.0,20000000,[0; 0],[15000; 15000],600.0
1,4 Wheelers,5,1,13,16,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
2,4 Wheelers,2,1,12,15,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
3,4 Wheelers,3,1,14,18,25000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
4,4 Wheelers,1,1,15,17,25000.0,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
5,4 Wheelers,3,1,13,18,25000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
6,4 Wheelers,2,1,13,17,25000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
7,4 Wheelers,1,1,14,20,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
8,4 Wheelers,4,1,13,15,25000.0,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
9,4 Wheelers,1,1,14,18,25000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
10,4 Wheelers,4,2,13,23,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
11,4 Wheelers,2,2,14,15,25000.0,20000000,[0; 0],[15000; 15000],600.0
12,4 Wheelers,4,2,13,19,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
13,4 Wheelers,1,2,15,21,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
14,4 Wheelers,3,2,12,13,25000.0,20000000,[0; 0],[15000; 15000],600.0
15,4 Wheelers,3,2,15,16,25000.0,20000000,[0; 0],[15000; 15000],600.0
16,4 Wheelers,4,2,13,15,25000.0,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
17,4 Wheelers,1,2,14,20,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
18,4 Wheelers,1,2,14,17,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
19,4 Wheelers,1,2,14,17,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
20,4 Wheelers,4,3,13,16,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
21,4 Wheelers,3,3,14,19,25000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
22,4 Wheelers,1,3,13,16,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
23,4 Wheelers,5,3,12,18,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
24,4 Wheelers,2,3,13,19,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
25,4 Wheelers,1,3,15,19,25000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
26,4 Wheelers,1,3,13,18,25000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
27,4 Wheelers,5,3,14,18,25000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
28,4 Wheelers,5,3,12,15,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
29,4 Wheelers,4,3,13,16,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
30,4 Wheelers,5,4,13,14,25000.0,20000000,[0; 0],[15000; 15000],600.0
31,4 Wheelers,1,4,14,19,25000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
32,4 Wheelers,3,4,14,18,25000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
33,4 Wheelers,4,4,13,22,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
34,4 Wheelers,4,4,13,19,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
35,4 Wheelers,2,4,14,16,25000.0,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
36,4 Wheelers,5,4,14,21,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
