Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
140,4 Wheelers,5,1,2,5,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
141,4 Wheelers,5,1,2,4,25000.0,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
142,4 Wheelers,1,1,3,6,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
143,4 Wheelers,3,1,1,11,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
144,4 Wheelers,1,1,1,11,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
145,4 Wheelers,4,1,1,10,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
146,4 Wheelers,3,1,1,7,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
147,4 Wheelers,1,1,2,7,25000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
148,4 Wheelers,2,1,1,8,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
149,4 Wheelers,5,1,4,10,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
150,4 Wheelers,2,2,1,2,25000.0,20000000,[0; 0],[15000; 15000],600.0
151,4 Wheelers,2,2,1,12,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
152,4 Wheelers,4,2,1,6,25000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
153,4 Wheelers,3,2,2,6,25000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
154,4 Wheelers,5,2,0,3,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
155,4 Wheelers,3,2,1,8,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
156,4 Wheelers,3,2,1,4,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
157,4 Wheelers,2,2,3,5,25000.0,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
158,4 Wheelers,5,2,2,3,25000.0,20000000,[0; 0],[15000; 15000],600.0
159,4 Wheelers,3,2,0,3,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
160,4 Wheelers,1,3,1,2,25000.0,20000000,[0; 0],[15000; 15000],600.0
161,4 Wheelers,4,3,0,2,25000.0,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
162,4 Wheelers,2,3,1,7,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
163,4 Wheelers,3,3,1,4,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
164,4 Wheelers,5,3,2,10,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
165,4 Wheelers,3,3,1,7,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
166,4 Wheelers,3,3,2,5,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
167,4 Wheelers,2,3,2,3,25000.0,20000000,[0; 0],[15000; 15000],600.0
168,4 Wheelers,5,3,2,12,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
169,4 Wheelers,3,3,2,4,25000.0,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
170,4 Wheelers,4,4,0,1,25000.0,20000000,[0; 0],[15000; 15000],600.0
171,4 Wheelers,3,4,1,3,25000.0,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
172,4 Wheelers,3,4,1,6,25000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
173,4 Wheelers,5,4,1,7,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
174,4 Wheelers,3,4,1,5,25000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
175,4 Wheelers,3,4,1,4,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
176,4 Wheelers,5,4,1,2,25000.0,20000000,[0; 0],[15000; 15000],600.0
177,4 Wheelers,5,4,3,5,25000.0,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
178,4 Wheelers,4,4,1,6,25000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
179,4 Wheelers,1,4,2,11,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
180,4 Wheelers,1,5,0,1,25000.0,20000000,[0; 0],[15000; 15000],600.0
181,4 Wheelers,1,5,1,6,25000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
182,4 Wheelers,4,5,0,1,25000.0,20000000,[0; 0],[15000; 15000],600.0
183,4 Wheelers,5,5,0,2,25000.0,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
184,4 Wheelers,2,5,0,6,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
185,4 Wheelers,2,5,2,5,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
186,4 Wheelers,4,5,2,8,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
187,4 Wheelers,5,5,2,5,25000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
188,4 Wheelers,5,5,1,7,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
189,4 Wheelers,4,5,0,8,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
190,4 Wheelers,3,6,2,9,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
191,4 Wheelers,5,6,2,6,25000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
192,4 Wheelers,2,6,4,9,25000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
193,4 Wheelers,5,6,0,10,25000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
194,4 Wheelers,3,6,2,7,25000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
