Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
280,4 Wheelers,1,1,14,18,50000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
281,4 Wheelers,3,1,14,17,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
282,4 Wheelers,1,1,14,18,50000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
283,4 Wheelers,4,1,13,21,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
284,4 Wheelers,1,1,14,23,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
285,4 Wheelers,5,1,15,19,50000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
286,4 Wheelers,4,1,12,21,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
287,4 Wheelers,4,1,15,18,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
288,4 Wheelers,5,1,13,16,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
289,4 Wheelers,3,1,12,17,50000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
290,4 Wheelers,5,2,14,17,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
291,4 Wheelers,1,2,13,20,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
292,4 Wheelers,5,2,13,21,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
293,4 Wheelers,1,2,14,20,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
294,4 Wheelers,3,2,14,20,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
295,4 Wheelers,4,2,14,20,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
296,4 Wheelers,2,2,14,18,50000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
297,4 Wheelers,5,2,13,18,50000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
298,4 Wheelers,1,2,13,18,50000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
299,4 Wheelers,2,2,13,16,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
300,4 Wheelers,5,3,14,21,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
301,4 Wheelers,3,3,13,16,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
302,4 Wheelers,1,3,13,17,50000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
303,4 Wheelers,1,3,13,16,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
304,4 Wheelers,5,3,13,16,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
305,4 Wheelers,2,3,14,17,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
306,4 Wheelers,3,3,12,16,50000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
307,4 Wheelers,3,3,16,19,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
