Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
1960,Two Wheelers,2,1,15,19,4392.6022956,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
1961,Two Wheelers,3,1,12,15,4392.6022956,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
1962,Two Wheelers,2,1,17,18,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1963,Two Wheelers,2,1,17,19,4392.6022956,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
1964,Two Wheelers,2,1,11,12,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1965,Two Wheelers,2,1,6,8,4392.6022956,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
1966,Two Wheelers,3,1,8,11,4392.6022956,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
1967,Two Wheelers,4,1,4,6,4392.6022956,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
1968,Two Wheelers,3,1,16,19,4392.6022956,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
1969,Two Wheelers,3,1,17,18,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1970,Two Wheelers,2,1,20,22,4392.6022956,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
1971,Two Wheelers,4,1,10,11,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1972,Two Wheelers,1,1,10,12,4392.6022956,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
1973,Two Wheelers,1,1,13,14,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1974,Two Wheelers,3,1,17,18,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1975,Two Wheelers,3,1,6,7,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1976,Two Wheelers,2,1,16,17,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1977,Two Wheelers,1,1,8,9,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1978,Two Wheelers,1,1,14,17,4392.6022956,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
1979,Two Wheelers,1,1,4,5,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1980,Two Wheelers,3,2,12,15,4392.6022956,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
1981,Two Wheelers,4,2,8,9,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1982,Two Wheelers,3,2,19,20,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1983,Two Wheelers,1,2,17,18,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1984,Two Wheelers,2,2,12,13,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1985,Two Wheelers,4,2,15,16,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1986,Two Wheelers,3,2,14,17,4392.6022956,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
1987,Two Wheelers,1,2,15,16,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1988,Two Wheelers,1,2,8,12,4392.6022956,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
1989,Two Wheelers,3,2,9,11,4392.6022956,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
1990,Two Wheelers,3,2,17,23,4392.6022956,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
1991,Two Wheelers,4,2,5,8,4392.6022956,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
1992,Two Wheelers,2,2,19,20,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1993,Two Wheelers,2,2,17,18,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1994,Two Wheelers,2,2,8,13,4392.6022956,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
1995,Two Wheelers,4,2,14,16,4392.6022956,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
1996,Two Wheelers,3,2,14,15,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
1997,Two Wheelers,1,2,0,2,4392.6022956,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
1998,Two Wheelers,1,2,16,19,4392.6022956,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
1999,Two Wheelers,2,2,13,14,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
2000,Two Wheelers,3,3,7,8,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
2001,Two Wheelers,3,3,21,22,4392.6022956,20000000,[0; 0],[15000; 15000],600.0
2002,Two Wheelers,1,3,12,14,4392.6022956,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
2003,Two Wheelers,3,3,17,19,4392.6022956,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
2004,Two Wheelers,3,3,10,12,4392.6022956,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
2005,Two Wheelers,3,3,6,8,4392.6022956,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
