Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
840,Two Wheelers,1,1,3,4,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
841,Two Wheelers,2,1,18,19,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
842,Two Wheelers,1,1,8,10,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
843,Two Wheelers,3,1,17,19,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
844,Two Wheelers,1,1,1,2,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
845,Two Wheelers,1,1,9,10,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
846,Two Wheelers,4,1,15,17,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
847,Two Wheelers,5,1,7,8,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
848,Two Wheelers,3,1,9,10,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
849,Two Wheelers,2,1,11,12,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
850,Two Wheelers,2,1,17,19,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
851,Two Wheelers,3,1,16,19,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
852,Two Wheelers,2,1,15,18,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
853,Two Wheelers,4,1,3,5,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
854,Two Wheelers,3,1,12,15,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
855,Two Wheelers,3,1,5,6,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
856,Two Wheelers,5,1,5,6,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
857,Two Wheelers,5,1,11,14,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
858,Two Wheelers,1,1,10,14,2928.4015303999995,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
859,Two Wheelers,2,1,4,6,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
860,Two Wheelers,5,2,0,2,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
861,Two Wheelers,2,2,6,8,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
862,Two Wheelers,5,2,5,8,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
863,Two Wheelers,3,2,10,11,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
864,Two Wheelers,1,2,21,22,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
865,Two Wheelers,5,2,8,12,2928.4015303999995,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
866,Two Wheelers,1,2,9,12,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
867,Two Wheelers,4,2,12,14,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
868,Two Wheelers,4,2,4,5,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
869,Two Wheelers,5,2,13,15,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
870,Two Wheelers,3,2,12,15,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
871,Two Wheelers,1,2,15,18,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
872,Two Wheelers,2,2,13,15,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
873,Two Wheelers,4,2,22,23,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
874,Two Wheelers,5,2,4,6,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
875,Two Wheelers,1,2,19,20,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
876,Two Wheelers,1,2,12,14,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
877,Two Wheelers,1,2,10,13,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
878,Two Wheelers,4,2,22,23,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
879,Two Wheelers,5,2,15,16,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
880,Two Wheelers,1,3,9,12,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
881,Two Wheelers,1,3,17,19,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
882,Two Wheelers,2,3,10,11,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
883,Two Wheelers,1,3,16,18,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
884,Two Wheelers,1,3,3,6,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
885,Two Wheelers,2,3,20,21,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
886,Two Wheelers,4,3,11,14,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
887,Two Wheelers,5,3,14,16,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
888,Two Wheelers,4,3,8,9,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
889,Two Wheelers,3,3,8,9,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
890,Two Wheelers,2,3,8,9,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
891,Two Wheelers,4,3,17,20,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
892,Two Wheelers,5,3,9,14,2928.4015303999995,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
893,Two Wheelers,2,3,12,13,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
894,Two Wheelers,1,3,16,17,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
895,Two Wheelers,4,3,3,6,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
896,Two Wheelers,5,3,14,16,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
897,Two Wheelers,3,3,9,10,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
898,Two Wheelers,2,3,12,16,2928.4015303999995,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
899,Two Wheelers,1,3,18,20,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
900,Two Wheelers,5,4,0,1,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
901,Two Wheelers,4,4,9,10,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
902,Two Wheelers,2,4,12,14,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
903,Two Wheelers,2,4,13,15,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
904,Two Wheelers,1,4,11,14,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
905,Two Wheelers,4,4,14,16,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
906,Two Wheelers,3,4,11,13,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
907,Two Wheelers,4,4,1,2,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
908,Two Wheelers,5,4,11,12,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
909,Two Wheelers,3,4,7,10,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
910,Two Wheelers,2,4,10,11,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
911,Two Wheelers,1,4,12,14,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
912,Two Wheelers,4,4,4,6,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
913,Two Wheelers,4,4,10,12,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
914,Two Wheelers,4,4,5,7,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
915,Two Wheelers,1,4,19,20,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
916,Two Wheelers,1,4,17,19,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
917,Two Wheelers,3,4,10,13,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
918,Two Wheelers,1,4,13,14,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
919,Two Wheelers,1,4,8,13,2928.4015303999995,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
920,Two Wheelers,5,5,5,6,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
921,Two Wheelers,1,5,0,2,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
922,Two Wheelers,1,5,13,17,2928.4015303999995,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
923,Two Wheelers,2,5,19,22,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
924,Two Wheelers,5,5,16,18,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
925,Two Wheelers,5,5,12,15,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
926,Two Wheelers,3,5,14,15,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
927,Two Wheelers,1,5,13,15,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
928,Two Wheelers,4,5,10,16,2928.4015303999995,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
929,Two Wheelers,1,5,20,22,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
930,Two Wheelers,3,5,13,15,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
931,Two Wheelers,5,5,10,12,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
932,Two Wheelers,5,5,13,15,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
933,Two Wheelers,3,5,13,14,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
934,Two Wheelers,2,5,15,17,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
935,Two Wheelers,3,5,16,19,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
936,Two Wheelers,2,5,18,20,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
937,Two Wheelers,4,5,11,12,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
938,Two Wheelers,1,5,10,14,2928.4015303999995,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
939,Two Wheelers,3,5,2,4,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
940,Two Wheelers,5,6,21,23,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
941,Two Wheelers,2,6,11,14,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
942,Two Wheelers,5,6,7,10,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
943,Two Wheelers,1,6,9,11,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
944,Two Wheelers,3,6,10,11,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
945,Two Wheelers,2,6,14,15,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
946,Two Wheelers,5,6,1,3,2928.4015303999995,20000000,[0; 0; 0],[15000; 15000; 15000],600.0
947,Two Wheelers,5,6,19,22,2928.4015303999995,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
948,Two Wheelers,1,6,14,15,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
949,Two Wheelers,4,6,5,6,2928.4015303999995,20000000,[0; 0],[15000; 15000],600.0
