Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps,Cost_Limit
0,4 Wheelers,1,1,0,5,50000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
1,4 Wheelers,2,1,1,5,50000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
2,4 Wheelers,1,1,1,6,50000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
3,4 Wheelers,1,1,2,12,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
4,4 Wheelers,5,1,2,13,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
5,4 Wheelers,5,1,0,3,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
6,4 Wheelers,3,1,1,4,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
7,4 Wheelers,1,1,0,6,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
8,4 Wheelers,5,1,1,8,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
9,4 Wheelers,4,1,2,5,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
10,4 Wheelers,4,2,1,6,50000.0,20000000,[0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000],600.0
11,4 Wheelers,5,2,2,5,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
12,4 Wheelers,3,2,2,8,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
13,4 Wheelers,4,2,2,6,50000.0,20000000,[0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000],600.0
14,4 Wheelers,3,2,3,19,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
15,4 Wheelers,5,2,2,11,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
16,4 Wheelers,2,2,2,12,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
17,4 Wheelers,4,2,0,13,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
18,4 Wheelers,3,2,0,8,50000.0,20000000,[0; 0; 0; 0; 0; 0; 0; 0; 0],[15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000],600.0
19,4 Wheelers,1,2,1,4,50000.0,20000000,[0; 0; 0; 0],[15000; 15000; 15000; 15000],600.0
