Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps
0,Passenger_SEAV,2,1,2,2,250.0,10000,[250.0],[250.0]
1,Passenger_SEAV,4,1,0,0,250.0,10000,[250.0],[250.0]
2,Passenger_SEAV,3,1,0,0,250.0,10000,[250.0],[250.0]
3,Passenger_SEAV,3,1,0,0,250.0,10000,[250.0],[250.0]
4,Passenger_SEAV,2,1,1,1,250.0,10000,[250.0],[250.0]
5,Passenger_SEAV,4,1,0,0,250.0,10000,[250.0],[250.0]
6,Passenger_SEAV,4,1,4,4,250.0,10000,[250.0],[250.0]
7,Passenger_SEAV,4,1,1,1,250.0,10000,[250.0],[250.0]
8,Passenger_SEAV,5,1,0,0,250.0,10000,[250.0],[250.0]
9,Passenger_SEAV,3,1,2,2,250.0,10000,[250.0],[250.0]
10,Passenger_SEAV,1,2,0,0,250.0,10000,[250.0],[250.0]
11,Passenger_SEAV,1,2,1,1,250.0,10000,[250.0],[250.0]
12,Passenger_SEAV,5,2,2,2,250.0,10000,[250.0],[250.0]
13,Passenger_SEAV,4,2,2,2,250.0,10000,[250.0],[250.0]
14,Passenger_SEAV,2,2,2,2,250.0,10000,[250.0],[250.0]
15,Passenger_SEAV,2,2,1,1,250.0,10000,[250.0],[250.0]
16,Passenger_SEAV,5,2,1,1,250.0,10000,[250.0],[250.0]
17,Passenger_SEAV,5,2,2,2,250.0,10000,[250.0],[250.0]
18,Passenger_SEAV,1,2,3,3,250.0,10000,[250.0],[250.0]
19,Passenger_SEAV,2,2,3,3,250.0,10000,[250.0],[250.0]
20,Passenger_SEAV,3,3,1,1,250.0,10000,[250.0],[250.0]
21,Passenger_SEAV,5,3,1,1,250.0,10000,[250.0],[250.0]
22,Passenger_SEAV,4,3,0,0,250.0,10000,[250.0],[250.0]
23,Passenger_SEAV,2,3,2,2,250.0,10000,[250.0],[250.0]
24,Passenger_SEAV,2,3,2,2,250.0,10000,[250.0],[250.0]
25,Passenger_SEAV,1,3,1,1,250.0,10000,[250.0],[250.0]
26,Passenger_SEAV,1,3,1,1,250.0,10000,[250.0],[250.0]
27,Passenger_SEAV,5,3,1,1,250.0,10000,[250.0],[250.0]
28,Passenger_SEAV,5,3,1,1,250.0,10000,[250.0],[250.0]
29,Passenger_SEAV,3,3,1,1,250.0,10000,[250.0],[250.0]
30,Passenger_SEAV,4,4,2,2,250.0,10000,[250.0],[250.0]
31,Passenger_SEAV,2,4,2,2,250.0,10000,[250.0],[250.0]
32,Passenger_SEAV,4,4,1,1,250.0,10000,[250.0],[250.0]
33,Passenger_SEAV,2,4,2,2,250.0,10000,[250.0],[250.0]
