Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps
0,Passenger_SEAV,2,1,0,5,88,1000,[0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250]
1,Passenger_SEAV,4,1,1,5,458,1000,[0; 0; 0; 0; 0],[250; 250; 250; 250; 250]
2,Passenger_SEAV,3,1,2,8,281,1000,[0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250]
3,Passenger_SEAV,5,1,0,9,547,1000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250; 250; 250]
4,Passenger_SEAV,5,1,2,12,341,1000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250]
5,Passenger_SEAV,1,1,1,7,56,1000,[0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250]
6,Passenger_SEAV,3,1,3,7,407,1000,[0; 0; 0; 0; 0],[250; 250; 250; 250; 250]
7,Passenger_SEAV,1,1,2,4,283,1000,[0; 0; 0],[250; 250; 250]
8,Passenger_SEAV,4,1,2,9,518,1000,[0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250]
9,Passenger_SEAV,2,1,2,3,195,1000,[0; 0],[250; 250]
10,Passenger_SEAV,5,1,2,5,415,1000,[0; 0; 0; 0],[250; 250; 250; 250]
11,Passenger_SEAV,3,1,3,5,468,1000,[0; 0; 0],[250; 250; 250]
12,Passenger_SEAV,4,1,1,7,506,1000,[0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250]
13,Passenger_SEAV,4,1,4,16,399,1000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250]
14,Passenger_SEAV,3,1,3,12,577,1000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250; 250; 250]
15,Passenger_SEAV,2,1,0,7,20,1000,[0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250]
16,Passenger_SEAV,2,1,3,19,130,1000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250]
17,Passenger_SEAV,1,1,1,13,80,1000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250]
18,Passenger_SEAV,2,1,3,10,228,1000,[0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250]
19,Passenger_SEAV,3,1,3,4,79,1000,[0; 0],[250; 250]
20,Passenger_SEAV,1,1,2,6,216,1000,[0; 0; 0; 0; 0],[250; 250; 250; 250; 250]
21,Passenger_SEAV,4,1,2,7,451,1000,[0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250]
22,Passenger_SEAV,1,1,1,12,28,1000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250]
23,Passenger_SEAV,3,1,3,13,645,1000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250]
24,Passenger_SEAV,5,1,3,8,392,1000,[0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250]
25,Passenger_SEAV,2,1,3,11,63,1000,[0; 0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250; 250]
26,Passenger_SEAV,5,1,2,7,432,1000,[0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250]
27,Passenger_SEAV,5,1,1,9,124,1000,[0; 0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250; 250]
28,Passenger_SEAV,3,1,2,5,507,1000,[0; 0; 0; 0],[250; 250; 250; 250]
29,Passenger_SEAV,2,1,2,5,480,1000,[0; 0; 0; 0],[250; 250; 250; 250]
30,Passenger_SEAV,2,1,2,7,9,1000,[0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250]
31,Passenger_SEAV,2,1,2,8,691,1000,[0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250]
32,Passenger_SEAV,4,1,2,7,28,1000,[0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250]
33,Passenger_SEAV,1,1,2,6,589,1000,[0; 0; 0; 0; 0],[250; 250; 250; 250; 250]
34,Passenger_SEAV,2,1,3,7,239,1000,[0; 0; 0; 0; 0],[250; 250; 250; 250; 250]
35,Passenger_SEAV,4,1,1,3,227,1000,[0; 0; 0],[250; 250; 250]
36,Passenger_SEAV,1,1,1,12,244,1000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250]
37,Passenger_SEAV,3,1,1,6,112,1000,[0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250]
38,Passenger_SEAV,5,1,2,9,501,1000,[0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250]
39,Passenger_SEAV,3,1,1,3,391,1000,[0; 0; 0],[250; 250; 250]
40,Passenger_SEAV,5,1,1,17,366,1000,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0],[250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250; 250]
