Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5
9,1,1,1,8760,1,1,1,84.952082,70.32973868,59.71081032,30.75063148,5.984472369
,,,,,,,2,95.56066205,68.94154554,56.06426203,29.3076818,4.761972497
,,,,,,,3,94.90121332,68.30279221,55.74710755,28.84683941,4.687093878
,,,,,,,4,94.01994495,67.97073272,56.65120375,29.45603517,4.786077259
,,,,,,,5,93.05774376,69.64256001,57.67474775,30.20411493,4.907626799
,,,,,,,6,93.3131165,74.30753465,59.97514744,31.22364979,5.073282924
,,,,,,,7,93.98976185,101.5450001,101.4078467,31.42881935,5.106619295
,,,,,,,8,100.3312126,111.2481572,104.5676175,31.76340355,5.160983225
,,,,,,,9,103.7356593,115.36899,103.7256828,32.22424593,5.235861845
,,,,,,,10,102.1897195,118.7734054,102.5181271,31.66555345,5.14508434
,,,,,,,11,104.760654,118.7218233,101.8036566,31.84231491,5.173804906
,,,,,,,12,103.713132,116.3146609,99.73404028,31.21733688,5.072257189
,,,,,,,13,101.5561376,113.7154986,102.0317505,30.43453612,4.945066109
,,,,,,,14,100.5480384,111.0360976,101.2468393,29.00150569,4.712224373
,,,,,,,15,100.179153,109.9385462,98.72774384,28.61010531,4.648628833
,,,,,,,16,98.94296429,111.7123956,98.1440919,30.1851762,4.904549595
,,,,,,,17,100.9732423,111.0704856,99.1269081,33.73282798,6.56484655
,,,,,,,18,99.75958096,107.9669655,98.84514509,40.0667256,7.79750531
,,,,,,,19,105.4364747,110.0388446,102.1927579,40.50162925,7.882143211
,,,,,,,20,108.1453893,108.6002785,105.6376461,39.35060604,7.658139141
,,,,,,,21,103.3414306,102.5881038,102.8569136,37.10414881,7.22094938
,,,,,,,22,99.24426768,98.53604709,101.8942233,33.98788426,6.614483816
,,,,,,,23,98.25024809,95.47837769,98.23130426,31.5583097,6.141657043
,,,,,,,24,94.91901529,91.25724646,62.09697849,31.02530747,6.037927886
,,,,,,,25,84.78170501,73.1407145,59.56494056,31.49945056,6.130202289
,,,,,,,26,84.21337015,71.86320785,55.69356199,29.96106792,4.86813602
,,,,,,,27,82.86920226,71.84245413,55.22812749,29.53179008,4.798386073
,,,,,,,28,80.10549668,71.50578271,55.60706531,29.42762707,4.781461453
,,,,,,,29,77.75844519,72.7948192,56.75417599,30.19464556,4.906088197
,,,,,,,30,73.50865715,77.84258463,59.5859124,31.81390682,5.169189101
,,,,,,,31,79.1414182,106.1644594,100.8644466,32.42625903,5.268685349
,,,,,,,32,87.38361465,116.4235563,102.4309147,33.42685517,5.43126427
,,,,,,,33,94.99504512,119.358002,102.9474803,33.39529062,5.426135598
,,,,,,,34,95.04854759,122.5016414,105.3424658,33.6193989,5.462549173
