Bid_ID,Bidder_ID,zone,Day,start_time,end_time,demand_min_total,demand_max_total,demand_min_timesteps,demand_max_timesteps
0,Passenger_SEAV,2,1,0,0,88,1000,[88],[88]
1,Passenger_SEAV,4,1,1,1,458,1000,[458],[458]
2,Passenger_SEAV,3,1,2,2,281,1000,[281],[281]
3,Passenger_SEAV,5,1,0,0,547,1000,[547],[547]
4,Passenger_SEAV,5,1,2,2,341,1000,[341],[341]
5,Passenger_SEAV,1,1,1,1,56,1000,[56],[56]
6,Passenger_SEAV,3,1,3,3,407,1000,[407],[407]
7,Passenger_SEAV,1,1,2,2,283,1000,[283],[283]
8,Passenger_SEAV,4,1,2,2,518,1000,[518],[518]
9,Passenger_SEAV,2,1,2,2,195,1000,[195],[195]
10,Passenger_SEAV,5,1,2,2,415,1000,[415],[415]
11,Passenger_SEAV,3,1,3,3,468,1000,[468],[468]
12,Passenger_SEAV,4,1,1,1,506,1000,[506],[506]
13,Passenger_SEAV,4,1,4,4,399,1000,[399],[399]
14,Passenger_SEAV,3,1,3,3,577,1000,[577],[577]
15,Passenger_SEAV,2,1,0,0,20,1000,[20],[20]
16,Passenger_SEAV,2,1,3,3,130,1000,[130],[130]
17,Passenger_SEAV,1,1,1,1,80,1000,[80],[80]
18,Passenger_SEAV,2,1,3,3,228,1000,[228],[228]
19,Passenger_SEAV,3,1,3,3,79,1000,[79],[79]
20,Passenger_SEAV,1,1,2,2,216,1000,[216],[216]
21,Passenger_SEAV,4,1,2,2,451,1000,[451],[451]
22,Passenger_SEAV,1,1,1,1,28,1000,[28],[28]
23,Passenger_SEAV,3,1,3,3,645,1000,[645],[645]
24,Passenger_SEAV,5,1,3,3,392,1000,[392],[392]
25,Passenger_SEAV,2,1,3,3,63,1000,[63],[63]
26,Passenger_SEAV,5,1,2,2,432,1000,[432],[432]
27,Passenger_SEAV,5,1,1,1,124,1000,[124],[124]
28,Passenger_SEAV,3,1,2,2,507,1000,[507],[507]
29,Passenger_SEAV,2,1,2,2,480,1000,[480],[480]
30,Passenger_SEAV,2,1,2,2,9,1000,[9],[9]
31,Passenger_SEAV,2,1,2,2,691,1000,[691],[691]
32,Passenger_SEAV,4,1,2,2,28,1000,[28],[28]
33,Passenger_SEAV,1,1,2,2,589,1000,[589],[589]
34,Passenger_SEAV,2,1,3,3,239,1000,[239],[239]
35,Passenger_SEAV,4,1,1,1,227,1000,[227],[227]
36,Passenger_SEAV,1,1,1,1,244,1000,[244],[244]
37,Passenger_SEAV,3,1,1,1,112,1000,[112],[112]
38,Passenger_SEAV,5,1,2,2,501,1000,[501],[501]
39,Passenger_SEAV,3,1,1,1,391,1000,[391],[391]
40,Passenger_SEAV,5,1,1,1,366,1000,[366],[366]
41,Passenger_SEAV,5,1,2,2,349,1000,[349],[349]
42,Passenger_SEAV,2,1,2,2,447,1000,[447],[447]
43,Passenger_SEAV,1,1,1,1,675,1000,[675],[675]
44,Passenger_SEAV,3,1,2,2,500,1000,[500],[500]
45,Passenger_SEAV,5,1,1,1,642,1000,[642],[642]
46,Passenger_SEAV,4,1,2,2,284,1000,[284],[284]
47,Passenger_SEAV,3,1,2,2,398,1000,[398],[398]
48,Passenger_SEAV,5,1,0,0,644,1000,[644],[644]
49,Passenger_SEAV,4,1,3,3,464,1000,[464],[464]
50,Passenger_SEAV,3,1,2,2,390,1000,[390],[390]
51,Passenger_SEAV,4,1,3,3,50,1000,[50],[50]
52,Passenger_SEAV,1,1,1,1,683,1000,[683],[683]
53,Passenger_SEAV,1,1,3,3,62,1000,[62],[62]
54,Passenger_SEAV,2,1,2,2,174,1000,[174],[174]
55,Passenger_SEAV,3,1,1,1,267,1000,[267],[267]
56,Passenger_SEAV,3,1,1,1,562,1000,[562],[562]
57,Passenger_SEAV,3,1,2,2,277,1000,[277],[277]
58,Passenger_SEAV,3,1,3,3,283,1000,[283],[283]
59,Passenger_SEAV,1,1,0,0,321,1000,[321],[321]
60,Passenger_SEAV,2,1,2,2,170,1000,[170],[170]
61,Passenger_SEAV,2,1,2,2,113,1000,[113],[113]
62,Passenger_SEAV,4,1,1,1,285,1000,[285],[285]
63,Passenger_SEAV,4,1,1,1,192,1000,[192],[192]
64,Passenger_SEAV,2,1,3,3,569,1000,[569],[569]
65,Passenger_SEAV,4,1,0,0,226,1000,[226],[226]
66,Passenger_SEAV,1,1,1,1,186,1000,[186],[186]
67,Passenger_SEAV,1,1,0,0,343,1000,[343],[343]
68,Passenger_SEAV,2,1,3,3,219,1000,[219],[219]
69,Passenger_SEAV,5,1,0,0,245,1000,[245],[245]
70,Passenger_SEAV,3,1,0,0,322,1000,[322],[322]
71,Passenger_SEAV,3,1,3,3,361,1000,[361],[361]
72,Passenger_SEAV,1,1,2,2,309,1000,[309],[309]
73,Passenger_SEAV,1,1,2,2,72,1000,[72],[72]
74,Passenger_SEAV,1,1,1,1,669,1000,[669],[669]
75,Passenger_SEAV,1,1,0,0,358,1000,[358],[358]
