R_ID,zone,voltage_level,Resource,RENEW,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,VRE,Commit,Min_Share,Max_Share,Existing_Cap_MW,New_Build,Cap_size,Max_Cap_MW,Min_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_Mwhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Externality_cost_MWh,Start_cost,Start_fuel_MMBTU_per_start,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh_in,Hydro_level
1,1,trans,Solar,1,0,1,0,0,0,0,0,0,1,0,0,0,31.119,1,1,305.131,-1,0,0,35.10580309,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2,1,trans,Wind,1,0,1,0,0,0,0,0,0,1,0,0,0,8.6,1,1,14.45221,-1,0,0,72.73844503,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3,1,trans,Biomass,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,9.721,-1,0,0,94.60831933,0,37.87878788,0,0,0,0,16.655814,biomass,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
4,1,trans,Mini Hydro,1,0,1,0,0,0,0,0,0,1,0,0,0,2.45,1,1,0,-1,0,0,96.93003959,0,31.81818182,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
5,1,trans,Pumped Hydro Storage,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.664823272,-1,0,0,112.6783142,0,15,0,0,0,0,0,none,0,0,0.866,0.866,0.083333333,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
6,1,trans,Hydro Reservoir,1,0,0,0,0,0,0,0,1,0,0,0,0,4.531,0,1,0,-1,0,0,143.7514285,0,39.39393939,0,0,0,0,0,none,0,0,1,1,0.000566875,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0.490752929
7,1,trans,Hydro Run of River,1,0,1,0,0,0,0,0,0,0,0,0,0,17.42377,1,1,6.073508777,-1,0,0,143.7514285,0,47.27272727,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
8,1,trans,Nuclear Old,0,1,0,0,0,0,0,0,0,0,1,0,0,2.664493478,0,0.23,0,-1,0,0,163.120054,0,72.91507136,0.009185728,0,0.23,0,10.13518957,uranium,0.5,0,1,1,0,0,0.2,0.2,24,24,1,0,0.1,0.1,0.5,0.5,0,0,0,0,0
9,1,trans,Nuclear New,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,5.0288,-1,0,0,163.120054,0,80,0.0034,0,0.5,0,10.13518957,uranium,0.5,0,1,1,0,0,0.2,0.2,24,24,1,0,0.1,0.1,0.5,0.5,0,0,0,0,0
10,1,trans,CCGT Old,0,1,0,0,0,0,0,0,0,0,1,0,0,2.76590925,0,0.36,0,-1,0,0,69.88250869,0,11.97518699,0.001508616,0,0.038181818,0,7.786447339,natural_gas,0.3,0,1,1,0,0,0.5,0.5,8,8,1,0,0.75,0.75,0.75,0.75,0,0,0,0,0
11,1,trans,CCGT New,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.35,-1,-1,0,0,69.88250869,0,10,0.0015,0,0.037121212,0,6.769230769,natural_gas,0.3,0,1,1,0,0,1,1,8,8,1,0,0.75,0.75,0.75,0.75,0,0,0,0,0
12,1,trans,Coal Old,0,1,0,0,0,0,0,0,0,0,1,0,0,33.36279249,0,0.33,0,-1,0,0,105.7782711,0,55.0800726,0.000914276,0,0.07816,0,9.883853813,coal,0.55,0,1,1,0,0,0.2,0.2,24,24,1,0,0.2,0.2,0.6,0.6,0,0,0,0,0
13,1,trans,Coal new,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.66,-1,-1,0,0,105.7782711,0,30,0.0009,0,0.14147,0,9.467116711,coal,0.55,0,1,1,0,0,0.2,0.2,24,24,1,0,0.2,0.2,0.6,0.6,0,0,0,0,0
14,2,trans,Solar,1,0,1,0,0,0,0,0,0,1,0,0,0,28.41,1,1,152.49,-1,0,0,35.10580309,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
15,2,trans,Wind,1,0,1,0,0,0,0,0,0,1,0,0,0,22.6,1,1,130.39588,-1,0,0,72.73844503,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
16,2,trans,Biomass,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,6.835,-1,0,0,94.60831933,0,37.87878788,0,0,0,0,16.655814,biomass,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
17,2,trans,Mini Hydro,1,0,1,0,0,0,0,0,0,1,0,0,0,0.125,1,1,0,-1,0,0,96.93003959,0,31.81818182,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
18,2,trans,Pumped Hydro Storage,1,0,0,0,1,0,0,0,0,0,0,0,0,0.64,1,1,2.085335426,-1,0,0,112.6783142,0,15,0,0,0,0,0,none,0,0,0.866,0.866,0.083333333,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
19,2,trans,Hydro Reservoir,1,0,0,0,0,0,0,0,1,0,0,0,0,4.621,0,1,0,-1,0,0,143.7514285,0,39.39393939,0,0,0,0,0,none,0,0,1,1,0.000520695,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0.581986493
20,2,trans,Hydro Run of River,1,0,1,0,0,0,0,0,0,0,0,0,0,2.131,1,1,0.516809432,-1,0,0,143.7514285,0,47.27272727,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,2,trans,Nuclear Old,0,1,0,0,0,0,0,0,0,0,1,0,0,2.8444,0,0.3,0,-1,0,0,163.120054,0,38.1942963,0.004774287,0,0.3,0,10.1812057,uranium,0.5,0,1,1,0,0,0.2,0.2,24,24,1,0,0.1,0.1,0.5,0.5,0,0,0,0,0
22,2,trans,Nuclear New,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,4.8492,-1,0,0,163.120054,0,80,0.0034,0,0.5,0,10.13518957,uranium,0.5,0,1,1,0,0,0.2,0.2,24,24,1,0,0.1,0.1,0.5,0.5,0,0,0,0,0
23,2,trans,CCGT Old,0,1,0,0,0,0,0,0,0,0,1,0,0,5.424080748,0,0.45,0,-1,0,0,69.88250869,0,12,0.0015,0,0.047727273,0,6.969189716,natural_gas,0.3,0,1,1,0,0,0.5,0.5,8,8,1,0,0.75,0.75,0.75,0.75,0,0,0,0,0
24,2,trans,CCGT New,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.35,-1,-1,0,0,69.88250869,0,10,0.0015,0,0.037121212,0,6.769230769,natural_gas,0.3,0,1,1,0,0,1,1,8,8,1,0,0.75,0.75,0.75,0.75,0,0,0,0,0
25,2,trans,Coal Old,0,1,0,0,0,0,0,0,0,0,1,0,0,64.36651223,0,0.38,0,-1,0,0,105.7782711,0,55.12575389,0.000972102,0,0.090002424,0,9.241594273,coal,0.55,0,1,1,0,0,0.2,0.2,24,24,1,0,0.2,0.2,0.6,0.6,0,0,0,0,0
26,2,trans,Coal new,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.66,-1,-1,0,0,105.7782711,0,30,0.0009,0,0.14147,0,9.467116711,coal,0.55,0,1,1,0,0,0.2,0.2,24,24,1,0,0.2,0.2,0.6,0.6,0,0,0,0,0
27,3,trans,Solar,1,0,1,0,0,0,0,0,0,1,0,0,0,26.531,1,1,80.799,-1,0,0,35.10580309,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
28,3,trans,Wind,1,0,1,0,0,0,0,0,0,1,0,0,0,28.2,1,1,127.01347,-1,0,0,72.73844503,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
