Time_index,Solar/z1,Wind/z1,Biomass/z1,Mini Hydro/z1,Pumped Hydro Storage/z1,Hydro Reservoir/z1,Hydro Run of River/z1,Nuclear Old/z1,Nuclear New/z1,CCGT Old/z1,CCGT New/z1,Coal Old/z1,Coal new/z1,Solar/z2,Wind/z2,Biomass/z2,Mini Hydro/z2,Pumped Hydro Storage/z2,Hydro Reservoir/z2,Hydro Run of River/z2,Nuclear Old/z2,Nuclear New/z2,CCGT Old/z2,CCGT New/z2,Coal Old/z2,Coal new/z2,Solar/z3,Wind/z3,Biomass/z3,Mini Hydro/z3,Pumped Hydro Storage/z3,Hydro Reservoir/z3,Hydro Run of River/z3,Nuclear Old/z3,Nuclear New/z3,CCGT Old/z3,CCGT New/z3,Coal Old/z3,Coal new/z3,Solar/z4,Biomass/z4,Mini Hydro/z4,Pumped Hydro Storage/z4,Hydro Reservoir/z4,Hydro Run of River/z4,Nuclear Old/z4,Nuclear New/z4,CCGT Old/z4,CCGT New/z4,Coal Old/z4,Coal new/z4,Solar/z5,Biomass/z5,Mini Hydro/z5,Pumped Hydro Storage/z5,Hydro Reservoir/z5,Hydro Run of River/z5,CCGT Old/z5,Coal Old/z5,Backup/1,Backup/2,Backup/3,Backup/4,Backup/5,Batteries/1,Batteries/2,Batteries/3,Batteries/4,Batteries/5
1,0,0.0575351,0.85,0.1167791,1,0.0000697,0.1728142,0.75,0.75,0.85,0.85,0.729981797,0.75,0,0.4541101,0.85,0.1685318,1,0.0000083,0.2494,0.75,0.75,0.85,0.85,0.731112409,0.75,0,0.3229307,0.85,0.1086503,1,0.0000073,0.160785,0.75,0.75,0.85,0.85,0.729608873,0.75,0,0.85,0.084077,1,0.0001199,0.1244204,0.75,0.75,0.85,0.85,0.729201355,0.75,0,0.85,0.0975728,1,0.0001816,0.144392,0.85,0.7275,1,1,1,1,1,1,1,1,1,1
2,0,0.0604409,0.85,0.1167791,1,0.0000697,0.1728142,0.75,0.75,0.85,0.85,0.729981797,0.75,0,0.4395751,0.85,0.1685318,1,0.0000083,0.2494,0.75,0.75,0.85,0.85,0.731112409,0.75,0,0.3093671,0.85,0.1086503,1,0.0000073,0.160785,0.75,0.75,0.85,0.85,0.729608873,0.75,0,0.85,0.084077,1,0.0001199,0.1244204,0.75,0.75,0.85,0.85,0.729201355,0.75,0,0.85,0.0975728,1,0.0001816,0.144392,0.85,0.7275,1,1,1,1,1,1,1,1,1,1
3,0,0.0633467,0.85,0.1167791,1,0.0000697,0.1728142,0.75,0.75,0.85,0.85,0.729981797,0.75,0,0.4497844,0.85,0.1685318,1,0.0000083,0.2494,0.75,0.75,0.85,0.85,0.731112409,0.75,0,0.2753055,0.85,0.1086503,1,0.0000073,0.160785,0.75,0.75,0.85,0.85,0.729608873,0.75,0,0.85,0.084077,1,0.0001199,0.1244204,0.75,0.75,0.85,0.85,0.729201355,0.75,0,0.85,0.0975728,1,0.0001816,0.144392,0.85,0.7275,1,1,1,1,1,1,1,1,1,1
4,0,0.0685772,0.85,0.1167791,1,0.0000697,0.1728142,0.75,0.75,0.85,0.85,0.729981797,0.75,0,0.4562358,0.85,0.1685318,1,0.0000083,0.2494,0.75,0.75,0.85,0.85,0.731112409,0.75,0,0.2687794,0.85,0.1086503,1,0.0000073,0.160785,0.75,0.75,0.85,0.85,0.729608873,0.75,0,0.85,0.084077,1,0.0001199,0.1244204,0.75,0.75,0.85,0.85,0.729201355,0.75,0,0.85,0.0975728,1,0.0001816,0.144392,0.85,0.7275,1,1,1,1,1,1,1,1,1,1
5,0,0.0523046,0.85,0.1167791,1,0.0000697,0.1728142,0.75,0.75,0.85,0.85,0.729981797,0.75,0,0.464581,0.85,0.1685318,1,0.0000083,0.2494,0.75,0.75,0.85,0.85,0.731112409,0.75,0,0.2439606,0.85,0.1086503,1,0.0000073,0.160785,0.75,0.75,0.85,0.85,0.729608873,0.75,0,0.85,0.084077,1,0.00012,0.1244204,0.75,0.75,0.85,0.85,0.729201355,0.75,0,0.85,0.0975728,1,0.0001816,0.144392,0.85,0.7275,1,1,1,1,1,1,1,1,1,1
6,0,0.0360321,0.85,0.1167791,1,0.0000697,0.1728142,0.75,0.75,0.85,0.85,0.729981797,0.75,0,0.4464869,0.85,0.1685318,1,0.0000083,0.2494,0.75,0.75,0.85,0.85,0.731112409,0.75,0,0.2273008,0.85,0.1086503,1,0.0000073,0.160785,0.75,0.75,0.85,0.85,0.729608873,0.75,0,0.85,0.084077,1,0.00012,0.1244204,0.75,0.75,0.85,0.85,0.729201355,0.75,0,0.85,0.0975728,1,0.0001816,0.144392,0.85,0.7275,1,1,1,1,1,1,1,1,1,1
7,0,0.021503,0.85,0.1167791,1,0.0000697,0.1728142,0.75,0.75,0.85,0.85,0.729981797,0.75,0,0.4327015,0.85,0.1685318,1,0.0000083,0.2494,0.75,0.75,0.85,0.85,0.731112409,0.75,0,0.2066772,0.85,0.1086503,1,0.0000073,0.160785,0.75,0.75,0.85,0.85,0.729608873,0.75,0,0.85,0.084077,1,0.00012,0.1244204,0.75,0.75,0.85,0.85,0.729201355,0.75,0.031,0.85,0.0975728,1,0.0001816,0.144392,0.85,0.7275,1,1,1,1,1,1,1,1,1,1
8,0.0110913,0.0104609,0.85,0.1167791,1,0.0000697,0.1728142,0.75,0.75,0.85,0.85,0.729981797,0.75,0.0170841,0.4133904,0.85,0.1685318,1,0.0000083,0.2494,0.75,0.75,0.85,0.85,0.731112409,0.75,0.1313465,0.2080702,0.85,0.1086503,1,0.0000073,0.160785,0.75,0.75,0.85,0.85,0.729608873,0.75,0.1260035,0.85,0.084077,1,0.00012,0.1244204,0.75,0.75,0.85,0.85,0.729201355,0.75,0.239,0.85,0.0975728,1,0.0001816,0.144392,0.85,0.7275,1,1,1,1,1,1,1,1,1,1
9,0.2320503,0.0145291,0.85,0.1167791,1,0.0000697,0.1728142,0.75,0.75,0.85,0.85,0.729981797,0.75,0.1948637,0.4058782,0.85,0.1685318,1,0.0000083,0.2494,0.75,0.75,0.85,0.85,0.731112409,0.75,0.3364178,0.2446506,0.85,0.1086503,1,0.0000073,0.160785,0.75,0.75,0.85,0.85,0.729608873,0.75,0.3916523,0.85,0.084077,1,0.0001199,0.1244204,0.75,0.75,0.85,0.85,0.729201355,0.75,0.413,0.85,0.0975728,1,0.0001816,0.144392,0.85,0.7275,1,1,1,1,1,1,1,1,1,1
10,0.4362963,0.0104609,0.85,0.1167791,1,0.0000697,0.1728142,0.75,0.75,0.85,0.85,0.729981797,0.75,0.3914691,0.368967,0.85,0.1685318,1,0.0000083,0.2494,0.75,0.75,0.85,0.85,0.731112409,0.75,0.5235416,0.2702272,0.85,0.1086503,1,0.0000073,0.160785,0.75,0.75,0.85,0.85,0.729608873,0.75,0.6011588,0.85,0.084077,1,0.0001199,0.1244204,0.75,0.75,0.85,0.85,0.729201355,0.75,0.6500001,0.85,0.0975728,1,0.0001816,0.144392,0.85,0.7275,1,1,1,1,1,1,1,1,1,1
