Resource,Zone,StartCap,RetCap,NewCap,EndCap,EnergyCap
Solar,1,31.119,0.0,82.3445077565593,113.4635077565593,0.0
Wind,1,8.6,0.0,10.17049,18.77049,0.0
Biomass,1,3.39718,0.0,0.0,3.39718,0.0
Pumped Hydro Storage,1,1.0,0.0,0.664823272,1.664823272,0.0
Hydro Reservoir,1,4.531,0.0,0.0,4.531,0.0
Hydro Run of River,1,19.87377,0.0,6.073508777,25.947278777,0.0
Nuclear Old,1,2.6794,0.0,0.0,2.6794,0.0
Nuclear New,1,0.0,0.0,5.0288,5.0288,0.0
CCGT Old,1,2.739740348,0.0,0.0,2.739740348,0.0
CCGT New,1,0.0,0.0,21.55507152179876,21.55507152179876,0.0
Coal Old,1,33.379435,0.0,0.0,33.379435,0.0
Coal new,1,0.0,0.0,46.765985024195224,46.765985024195224,0.0
Solar,2,28.41,0.0,0.0,28.41,0.0
Wind,2,22.6,0.0,117.78614,140.38614,0.0
Biomass,2,3.19406,0.0,0.0,3.19406,0.0
Pumped Hydro Storage,2,0.64,0.0,2.085335426,2.725335426,0.0
Hydro Reservoir,2,4.621,0.0,0.0,4.621,0.0
Hydro Run of River,2,2.256,0.0,0.0,2.256,0.0
Nuclear Old,2,2.8806,0.0,0.0,2.8806,0.0
Nuclear New,2,0.0,0.0,4.8492,4.8492,0.0
CCGT Old,2,5.485869732,0.0,0.0,5.485869732,0.0
CCGT New,2,0.0,0.0,38.545289911946995,38.545289911946995,0.0
Coal Old,2,64.936169,0.0,0.0,64.936169,0.0
Coal new,2,0.0,0.0,0.0,0.0,0.0
Solar,3,26.531,0.0,80.799,107.33000000000001,0.0
Wind,3,28.2,0.0,111.62946,139.82945999999998,0.0
Biomass,3,3.30346,0.0,0.0,3.30346,0.0
Pumped Hydro Storage,3,1.3,0.0,0.867570951,2.167570951,0.0
Hydro Reservoir,3,6.6081,0.0,0.0,6.6081,0.0
Hydro Run of River,3,5.69035,0.0,0.0,5.69035,0.0
Nuclear Old,3,3.43036,0.0,0.0,3.43036,0.0
Nuclear New,3,0.0,0.0,9.5188,9.5188,0.0
CCGT Old,3,3.604022842,0.0,0.0,3.604022842,0.0
CCGT New,3,0.0,0.0,35.1207606432958,35.1207606432958,0.0
Coal Old,3,35.7887125,0.0,0.0,35.7887125,0.0
Coal new,3,0.0,0.0,0.0,0.0,0.0
Solar,4,12.237,0.0,20.287550149012212,32.524550149012214,0.0
Biomass,4,0.70961,0.0,0.0,0.70961,0.0
Pumped Hydro Storage,4,0.94,0.0,0.451021839,1.391021839,0.0
Hydro Reservoir,4,2.14225,0.0,0.0,2.14225,0.0
Hydro Run of River,4,3.07145,0.0,1.122452374,4.193902374,0.0
Nuclear New,4,0.0,0.0,0.898,0.898,0.0
CCGT New,4,0.0,0.0,3.0817125816986763,3.0817125816986763,0.0
Coal Old,4,27.523555,0.0,0.0,27.523555,0.0
Coal new,4,0.0,0.0,12.252704137337128,12.252704137337128,0.0
Solar,5,1.206,0.0,14.93529071126085,16.14129071126085,0.0
Biomass,5,0.0,0.0,0.0,0.0,0.0
Pumped Hydro Storage,5,0.0,0.0,0.931248512,0.931248512,0.0
Hydro Reservoir,5,0.105,0.0,0.0,0.105,0.0
Hydro Run of River,5,3.26574,0.0,0.0,3.26574,0.0
CCGT Old,5,0.983853972,0.0,0.0,0.983853972,0.0
Coal Old,5,0.67875,0.0,0.0,0.67875,0.0
Backup,1,7.748866281,0.0,0.0,7.748866281,0.0
Backup,3,1.030580762,0.0,0.0,1.030580762,0.0
Backup,5,1.220552957,0.0,0.0,1.220552957,0.0
Batteries,1,0.0,0.0,10.899389935724377,10.899389935724377,0.0
Batteries,2,0.0,0.0,5.927755925381907,5.927755925381907,0.0
Batteries,3,0.0,0.0,12.672412424479164,12.672412424479164,0.0
Batteries,4,0.0,0.0,7.791876261366493,7.791876261366493,0.0
Batteries,5,0.0,0.0,8.065495713838732,8.065495713838732,0.0
Total,n/a,419.662438394,0.0,673.1216538488956,1092.784092242896,0.0
