R_ID,zone,voltage_level,Resource,RENEW,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,VRE,Commit,Min_Share,Max_Share,Existing_Cap_MW,New_Build,Cap_size,Max_Cap_MW,Min_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_Mwhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Externality_cost_MWh,Start_cost,Start_fuel_MMBTU_per_start,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh_in,Hydro_level
1,1,trans,Solar,1,0,1,0,0,0,0,0,0,1,0,0,0,178.6067331,1,1,305.131,-1,0,0,35.10580309,0,10.60606061,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2,1,trans,Wind,1,0,1,0,0,0,0,0,0,1,0,0,0,18.77049,1,1,10.17049,-1,0,0,72.73844503,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3,1,trans,Biomass,1,1,0,0,0,0,0,0,0,0,1,0,0,9.721,1,1,6.32382,-1,0,0,94.60831933,0,37.87878788,0,0,0,0,16.655814,biomass,0,0,1,1,0,0,1,1,1,1,1,0,0.2,0.2,0.4,0.4,0.004,0,0,0,0
4,1,trans,Pumped Hydro Storage,1,0,0,0,1,0,0,0,0,0,0,0,0,1.664823272,1,1,0.664823272,-1,0,0,112.6783142,0,34.84511084,0,0,0,0,0,none,0,0,0.866,0.866,0.083333333,0,1,1,1,1,1,0,1,1,1,1,0.002,0,0,0,0
5,1,trans,Hydro Reservoir,1,0,0,0,0,0,0,0,1,0,0,0,0,4.531,0,1,0,-1,0,0,146.4818085,0,34.84511084,0,0,0,0,0,none,0,0,1,1,0.000566875,0,1,1,1,1,1,0,1,1,1,1,0.002,0,0,0,0.490752929
6,1,trans,Hydro Run of River,1,0,1,0,0,0,0,0,0,1,0,0,0,25.94727878,1,1,6.073508777,-1,0,0,146.4818085,0,55.15151515,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
7,1,trans,Nuclear Old,0,1,0,0,0,0,0,0,0,0,1,0,0,2.6794,0,0.27,0,-1,0,0,163.120054,0,75,0.00055,0,0.27,0,10.10431792,uranium,0.75,0,1,1,0,0,0,0,36,36,1,0,0,0,0,0,0,0,0,0,0
8,1,trans,Nuclear New,0,1,0,0,0,0,0,0,0,0,1,0,0,5.0288,1,0.48,5.0288,-1,0,0,163.120054,0,75,0.00055,0,0.48,0,10.10431792,uranium,0.75,0,1,1,0,0,0,0,36,36,1,0,0,0,0,0,0,0,0,0,0
9,1,trans,CCGT Old,0,1,0,0,0,0,0,0,0,0,1,0,0,2.739740348,0,0.46,0,-1,0,0,69.88250869,0,9.35607703,0.00116951,0,0.04899697,0,7.763841639,natural_gas,0.255,0,1,1,0,0,1,1,8,8,1,0,0.25,0.25,0.5,0.5,0.006,0,0,0,0
10,1,trans,CCGT New,0,1,0,0,0,0,0,0,0,0,1,0,0,68.79513361,1,0.34,-1,-1,0,0,69.88250869,0,10,0.0015,0,0.036215152,0,6.635897436,natural_gas,0.255,0,1,1,0,0,1,1,8,8,1,0,0.25,0.25,0.5,0.5,0.006,0,0,0,0
11,1,trans,Coal Old,0,1,0,0,0,0,0,0,0,0,1,0,0,33.379435,0,0.38,0,-1,0,0,105.7782711,0,55.0800726,0.00096495,0,0.090002424,0,10.04809714,coal,0.434489988,0,1,1,0,0,0.6,0.6,24,24,1,0,0.2,0.2,0.4,0.4,0.01,0,0,0,0
