Resource,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear New,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,CCGT Old,Coal Old,Backup,Backup,Backup,Batteries,Batteries,Batteries,Batteries,Batteries
Zone,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1,3,5,1,2,3,4,5
t1,0.0,0.0,0.0,15.179781341117959,3922.5605667898562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.99027424734287,5164.942210224797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6754537014545,9145.77922085094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.35820459946004,1453.8406876307497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.612398808814618,249.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,3.380087827380484,3.1150149251497026,42.58357326601392,2.9693270679764048,0.7928802985921537
t2,0.0,0.0,0.0,13.51495806911796,3923.117674970672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.99027424734287,5165.015781298074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5078827504545,9145.90960227412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.96718276046004,1454.302392850211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.681150296814618,249.94039424999997,0.0,0.0,0.0,0.0,0.0,0.0,1.6421100272277278,1.513332642458748,31.28002576007288,1.442554750484563,0.3851961118177564
t3,0.0,0.0,0.0,13.51495806911796,3923.6747831514876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.99027424734287,5165.089352371351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.340311799454497,9146.0399836973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.576160921460039,1454.7640980696722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.749901784814618,249.88078849999997,0.0,0.0,0.0,0.0,0.0,0.0,0.7977678330363428,0.7352053655476835,19.369426941262212,0.7008201388753569,0.1871354917293008
t4,0.0,0.0,0.0,13.51495806911796,3924.2318913323033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.26493882134287,5165.162923444628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.172740848454495,9146.170365120479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.755020689630939,1455.2258032891334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.749901784814618,249.82118274999996,0.0,0.0,0.0,0.0,0.0,0.0,0.38757056766893583,0.35717654821209416,9.410030693359612,0.34047156053404176,0.09091392978892707
t5,0.0,0.0,0.0,11.85013479711796,3924.788999513119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.03345419869118,5165.236494517905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.005169897454493,9146.300746543659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.182958103867534,1455.6875085085946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.818653272814618,249.76157699999996,0.0,0.0,0.0,0.0,0.0,0.0,0.18828904689163897,0.17352306249515836,4.57156930447627,0.16540746634152098,0.044167691298356807
t6,0.0,0.0,0.0,11.396157535357247,3925.3461076939348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.03345419869118,5165.310065591182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.837598946454493,9146.431127966838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.791936264867534,1456.1492137280559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8874047608146185,249.70197124999996,0.0,0.0,0.0,0.0,0.0,0.0,0.09147434851050325,0.08430075649820921,2.2209540634524862,0.08035804775766542,0.02145749236839766
t7,0.0,0.0,0.0,9.731334263357247,3925.9032158747505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.30811877269118,5165.383636664459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.670027995454493,9146.561509390018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4009144258675335,1456.6109189475171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.956156248814619,249.64236549999995,0.0,0.0,0.0,0.0,0.0,0.0,0.04443995321850329,0.04095488774795369,1.0789811164267595,0.039039445934625744,0.010424452019229116
t8,0.0,0.0,0.0,8.066510991357248,3926.460324055566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.58278334669118,5165.457207737736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.502457044454493,9146.691890813197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.739870316704382,1457.0726241669784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.512146414621409,249.58275974999995,0.0,0.0,0.0,0.0,0.0,0.0,0.02158976231283023,0.01989665217871583,0.5241892521611997,0.01896609464031166,0.005064394200193527
t9,0.0,0.0,0.0,8.066510991357248,3927.017432236382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.204974088663672,5165.530778811013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.502457044454493,9146.822272236377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.739870316704382,1457.5343293864396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.512146414621409,249.52315399999995,0.0,0.0,0.0,0.0,0.0,0.0,0.010488711237671347,0.009666166596698273,0.2546609647732137,0.009214084300981695,0.002460377635931649
