Time_index,Solar/1,Wind/1,Biomass/1,PHS/1,Hydro Reservoir/1,Hydro Run of River/1,Nuclear Old/1,Nuclear New/1,CCGT Old/1,CCGT New/1,Coal Old/1,Coal new/1,Solar/2,Wind/2,Biomass/2,PHS/2,Hydro Reservoir/2,Hydro Run of River/2,Nuclear Old/2,Nuclear New/2,CCGT Old/2,CCGT New/2,Coal Old/2,Coal new/2,Solar/3,Wind/3,Biomass/3,PHS/3,Hydro Reservoir/3,Hydro Run of River/3,Nuclear Old/3,Nuclear New/3,CCGT Old/3,CCGT New/3,Coal Old/3,Coal new/3,Solar/4,Biomass/4,PHS/4,Hydro Reservoir/4,Hydro Run of River/4,Nuclear New/4,CCGT New/4,Coal Old/4,Coal new/4,Solar/5,Biomass/5,PHS/5,Hydro Reservoir/5,Hydro Run of River/5,CCGT Old/5,Coal Old/5,Backup/1,Backup/3,Backup/5,Batteries/1,Batteries/2,Batteries/3,Batteries/4,Batteries/5
1,0,0.057535115,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.454110125,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.322930663,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
2,0,0.060440931,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.439575075,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.309367143,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
3,0,0.063346744,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.449784445,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.275305548,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
4,0,0.06857721,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.456235765,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.268779426,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
5,0,0.052304648,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.464581027,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.243960596,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
6,0,0.036032092,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.446486873,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.227300806,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
7,0,0.021503023,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.432701548,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.206677245,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0.031000001,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
8,0.011091252,0.01046093,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0.017084101,0.413390419,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0.131346529,0.208070165,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0.126003522,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0.239000015,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
9,0.232050334,0.01452907,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0.194863683,0.405878171,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0.336417798,0.244650623,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0.391652329,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0.413000005,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
10,0.436296337,0.01046093,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0.391469119,0.36896698,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0.523541629,0.270227177,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0.601158839,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0.650000051,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
11,0.569682004,0.006973953,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0.54680904,0.298084278,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0.714201053,0.273219039,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0.742681644,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0.809000041,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
12,0.685577778,0.009298604,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0.648009593,0.229643871,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0.807422132,0.251119872,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0.81900838,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0.83600001,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
13,0.69756528,0.013366744,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0.68313214,0.174766291,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0.841646897,0.226820156,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0.811159935,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0.77600001,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
14,0.786406382,0.01046093,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0.668735376,0.144974994,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0.769483935,0.191119131,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0.727796871,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0.63400004,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
15,0.643375293,0.01452907,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0.586450386,0.117775259,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0.682454316,0.185875496,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0.570138632,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0.42100001,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
16,0.404672597,0.022665348,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0.416309226,0.110537586,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0.518544214,0.168840507,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0.348102588,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0.138000005,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
17,0.186262414,0.036032092,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0.172774232,0.119643962,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0.29527369,0.161031658,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0.078960367,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
18,0,0.122044184,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0.037823468,0.133092013,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0.056773655,0.142481227,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
19,0,0.219098362,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.164097265,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.173113913,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
20,0,0.282445118,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.207302134,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.211623703,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
21,0,0.322545336,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.250837493,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.234927185,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
22,0,0.356252782,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.292808603,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.240868119,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
23,0,0.27256535,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.334128766,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.257428002,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
24,0,0.232465118,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.372971356,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.250460494,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
25,0,0.057535115,0.8,1,6.97E-05,0.17281422,0.75,0.75,0.85,0.85,0.789981797,0.81,0,0.458676748,0.8,1,8.29E-06,0.249399993,0.75,0.75,0.85,0.85,0.791112409,0.81,0,0.24458937,0.8,1,7.34E-06,0.160784966,0.75,0.75,0.85,0.85,0.789608873,0.81,0,0.8,1,0.000119919,0.124420415,0.75,0.85,0.789729291,0.81,0,0.8,1,0.000181577,0.144391984,0.85,0.7875,1,1,1,1,1,1,1,1
