Resource,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Wind,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear Old,Nuclear New,CCGT Old,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,Nuclear New,CCGT New,Coal Old,Coal new,Solar,Biomass,Pumped Hydro Storage,Hydro Reservoir,Hydro Run of River,CCGT Old,Coal Old,Backup,Backup,Backup,Batteries,Batteries,Batteries,Batteries,Batteries
Zone,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1,3,5,1,2,3,4,5
t1,0.0,0.0,0.0,18.055450623357245,3922.5605667898562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.453991681763224,5164.942210224797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5078827504545,9145.77922085094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086001350704384,1453.8406876307497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.099637486621408,249.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,294.157851697088,7.73902984593744,99.08158670537061,0.9232763564821831,25.04619270711582
t2,0.0,0.0,0.0,16.390627351357246,3923.117674970672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.453991681763224,5165.015781298074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.340311799454497,9145.90960227412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.694979511704384,1454.302392850211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.168388974621408,249.94039424999997,0.0,0.0,0.0,0.0,0.0,0.0,247.84296151677705,7.722906869671413,85.11203884824486,0.4485449610510996,20.949146487984926
t3,0.0,0.0,0.0,14.725804079357246,3923.6747831514876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.453991681763224,5165.089352371351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.172740848454495,9146.0399836973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.303957672704383,1454.7640980696722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.237140462621408,249.88078849999997,0.0,0.0,0.0,0.0,0.0,0.0,201.59452920585645,7.7068174829339,71.05234967782552,0.21791155017865435,16.947563986647413
t4,0.0,0.0,0.0,13.060980807357247,3924.2318913323033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.453991681763224,5165.162923444628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.005169897454493,9146.170365120479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.912935833704383,1455.2258032891334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.305891950621408,249.82118274999996,0.0,0.0,0.0,0.0,0.0,0.0,154.59499620048277,7.690761615746728,57.06483942493446,0.10586551588939713,12.839928093588316
t5,0.0,0.0,0.0,11.396157535357247,3924.788999513119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.600656883914038,5165.236494517905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.837598946454493,9146.300746543659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.521913994704382,1455.6875085085946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.374643438621408,249.76157699999996,0.0,0.0,0.0,0.0,0.0,0.0,129.14767904390365,7.67473919827751,56.945954361820796,0.05143145209760448,8.600381201041563
t6,0.0,0.0,0.0,9.731334263357247,3925.3461076939348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.875321457914037,5165.310065591182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.670027995454493,9146.431127966838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.130892155704382,1456.1492137280559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.443394926621409,249.70197124999996,0.0,0.0,0.0,0.0,0.0,0.0,98.6626906288542,7.658750160839345,46.48176330276493,0.02498636352588833,4.178226404003273
t7,0.0,0.0,0.0,8.066510991357248,3925.9032158747505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.149986031914036,5165.383636664459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.502457044454493,9146.561509390018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.739870316704382,1456.6109189475171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.512146414621409,249.64236549999995,0.0,0.0,0.0,0.0,0.0,0.0,54.403092332319574,7.642794433890513,24.991824722831414,0.012138843777209269,2.0298607090806504
t8,0.0,0.0,0.0,6.401687719357248,3925.7730683915597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.424650605914035,5165.457207737736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.334886093454493,9146.691890813197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.348848477704381,1457.0726241669784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.580897902621409,249.58275974999995,0.0,0.0,0.0,0.0,0.0,0.0,26.430042056135502,3.7130128022910496,12.141496929055872,0.005897277852970542,0.9861443827748531
t9,0.0,0.0,0.0,8.066510991357248,3926.3301765723754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.204974088663672,5165.530778811013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.502457044454493,9146.822272236377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.739870316704382,1457.5343293864396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.512146414621409,249.62815399999994,0.0,0.0,0.0,0.0,0.0,0.0,12.840209869358867,1.803851220810518,5.898566803871692,0.0028650081270864096,1.5530335350075655
